OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
1;419;419;95943;"Спортивный клуб АМ ""Клуб""";ул. Берзарина 17с2;300 руб. заезд;-1211,0619;13464,3313;2138976;95943;Автодром спортивный;;да;10:00-22:00;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;95943;плоскостные спортивные сооружения;частная;СЗАО;Хорошёво-Мневники;да;да;да;нет;да;нет;нет;нет;сведений нет;сведения отсутсвуют;нет;нет;нет;Удалить;Не функционирует в связи с размещением на данной территории бытовых городков (ведется строительство Северо-Западной хорды);55.7878879334575;37.47894821469755
2;264;264;105312;"Картинг- центр ""Arena GP""";Бумажный пр. 19с1;500-2000;5478,3699;13633,5318;3400555;105312;Автодром спортивный;;да;14.00-24.00;асфальтовое, бетонное;лампы дневного освещения;нет;нет;;;105312;автодром;частная;САО;Беговой;да;да;да;да;да;да;нет;да;сведений нет;сведения отсутсвуют;(495) 540-57-63;www.arena-gp.ru;нет;Внесены изменения;;55.78937965467601;37.585583073006454
3;3900;3900;;Взрослые игры;ул. Большая Академическая, 38;от 400 до 1000;2322,5463;18426,1462;2133891;;Автодром спортивный;;Да;12.00 до 23.00;асфальтовое, бетонное;уличные столбы освещения;Нет;от 400 до 1000;;;;автодромы;частная;САО;Коптево;Да;Да;Нет;Нет;Да;Да;Нет;Нет;сведений нет;сведения отсутсвуют;(495) 786-22-44;www.ikart.ru;info@ikart.ru;;;55.83244985017613;37.535315326837285
4;3;3;105321;"Картинг-клуб ""Пигмалион""";Южнопортовая ул. 7с1;Стоимость заезда: 5 минут - 200р. 10 минут - 300р. Одновременный старт (режим гонки) - 350р. Бронирование трассы на 1 час - 7000р. (вне зависимости от количества машин);12222,8848;4454,899;2702991;105321;Автодром спортивный;"Картинг-клуб ""Пигмалион""";да;Понедельник-Пятница:- 10.00 - 22.00 (до последнего клиента)Суббота - Воскресенье:- Круглосуточно;асфальтовое, бетонное;смешанное освещение;нет;Стоимость заезда: 5 минут - 200р. 10 минут - 300р. Одновременный старт (режим гонки) - 350р. Бронирование трассы на 1 час - 7000р. (вне зависимости от количества машин);;;105321;автодром;частная;ЮВАО;Южнопортовый;да;да;да;да;да;да;нет;да;сведений нет;сведения отсутсвуют;нет;нет;нет;Удалить;;55.706818375175665;37.6926895914714
5;4;4;105306;"Картинг-центр ""Forza karting"" Волгоградка";Волгоградский просп. 32к4;сеанс продолжительностью 10 мин от 350 до 700 рублей;12214,4247;6001,5022;2704577;105306;Автодром спортивный;"Картинг-центр ""Forza karting""";да;будни: с 14:00 до 02:00выходные с 12:00 до 02:00;асфальтовое, бетонное;смешанное освещение;да;Нет;;;105306;автодром;частная;ЮВАО;Южнопортовый;да;да;да;да;да;да;нет;да;1097847332604;ИП  Буренко И.Е.;(495) 580-63-56;www.forza-karting.ru;info@forza-karting.ru;Внесены изменения;;55.72070974401304;37.69262335297056
6;479;479;105300;"Картинг центр ""Move-kart""";ул. Правды 24с5;650-1150;5413,4926;13534,691;3400560;105300;Автодром спортивный;;да;12.00-02.00;асфальтовое, бетонное;лампы дневного освещения;нет;650-700;;;105300;автодром;частная;САО;Беговой;да;да;нет;да;да;да;нет;нет;1117746177031;"ООО ""Медиа Пресса""";(945) 980-25-15;m-kart,ru/contacts;manager@m-kart.ru;Внесены изменения;;55.788492616557505;37.58454694802408
7;317;317;;10 баллов;ул Складочная д.1.стр.6;1000 руб.;6077,8313;15226,6874;2137133;;Автодром спортивный;10 Дюймов;да;будни с 14.00- до 02.00 суббота с12.00 до 06.00 воскресенье с 12.00 до 02.00;асфальтовое, бетонное;прожекторное освещение;нет;от 300 до 690 руб.;;;;автодромы;Частная;СВАО;Бутырский;да;да;да;да;да;да;да;да;1027739873710;"ООО "" Картинг Формула""";(499) 610-20-49;10d.ru;manager@10d.ru;Добавлено;график работы зависит от дня недели, с понедельника по четверг с 14.00 до 02.00, пятница с 14.00 до 06.00, суббота с 12.00 до 06.00, воскресенье с12.00 до 02.00;55.803681778041444;37.59517391188091
8;3895;3895;;Le Mans Karting club;ул. Молодогвардейская, д. 54, стр. 5;400 - 650 р. 10 мин.;-6384,2238;7581,9072;3200226;;Автодром спортивный;;Да;12.00 до 23.00;асфальтовое, бетонное;прожекторное освещение;Нет;400 - 650 р. 10 мин.;;;;автодромы;частная;ВАО;Кунцево;Да;Да;Да;Да;Да;Да;Нет;Да;сведений нет;сведения отсутсвуют;(495) 505-02-27;www.lemanskarting.ru;нет данных;;;55.73501207653511;37.396626389495935
9;3899;3899;;«Серебряный Дождь»;Варшавское шоссе, д 170-Г;600 р. 10 мин.;5824,2828;-9717,1736;3801838;;Автодром спортивный;;Да;18:00 до 02:00;асфальтовое, бетонное;смешанное освещение;Нет;600 р. 10 мин.;;;;автодромы;частная;ЮАО;Чертаново Южное;Да;Да;Да;Да;Да;Да;Нет;Нет;сведений нет;сведения отсутсвуют;(499) 426-08-30;www.kartcenter.ru;нет данных;;;55.57964425309928;37.59061102599321
10;461;461;102858;"Автономная некомерческая организация  ""Русская спортивная компания""";ул. Верхние Поля 12;Бесплатно;15677,7197;-500,2896;;102858;Автодром спортивный;;да;с 10:00 до 20.00;асфальтовое, бетонное;уличные столбы освещения;нет;нет;;;102858;досуговые центры;Общественная организация;ЮВАО;Марьино;да;да;да;да;да;нет;нет;нет;1057748652532;"АНО ""Русская спортивная компания""";(495) 507-06-23;нет;ANO-RSK@rambler.ru;Добавлено;;55.66221369466376;37.74736509245819
11;839;839;;"Русская школа картинга ""Пилот""";пр.Шокальского,вл.52;дети 400 руб, взрослые 600 руб.;10703,4411;24035,3899;;;Автодром спортивный;"Русская школа картинга ""Пилот""";да;11.00-22.45;асфальтовое, бетонное;прожекторное освещение;нет;дети 400 руб, взрослые 600 руб.;;;;автодромы;Частная;СВАО;Северное Медведково;да;да;да;да;да;нет;нет;да;1027700320229;"АНО РШК ""Пилот""";(925) 772-25-89;ruskart.ru;info@ruskart.ru;Добавлено;не видет ОГРН;55.88271830801364;37.66928054222345
12;73;73;103789;;Зеленоград, д.Назарьево;бесплатно;-15218,2603;33916,4446;;103789;Автодром спортивный;;нет;свободный режим;асфальтовое, бетонное;уличные столбы освещения;нет;нет;;;103789;открытая городская территория;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;ЗелАО;Савёлки;нет;нет;нет;нет;нет;нет;нет;нет;1087746543499;"ГКУ г.Москвы ""Дирекция ЖКХиБ ЗелАО";(499) 210-29-20;www.zelguis.ru;Zel_GUIS@mail.ru;Добавлено;;55.97133653355441;37.254514100232235
13;478;478;;;Красного Маяка, 29;беспл.;4480,3606;-6587,4473;;;Автодром спортивный;;нет;нет данных;грунтовое;без освещения;да;нет;;;;автодромы;Департамент природопользования и охраны окружающей среды города Москвы;ЮЗАО;Чертаново Центральное;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;сведения отсутсвуют;нет;нет;нет;Добавлено;На карте объкта не обнаружено;55.60776916820515;37.56935159690199
