OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
26;26;;;сведения отсутствуют;ул. Академика Виноградова, 12;бесплатно;-338,5225;-3585,9527;;;пляж;"зона отдыха ""Тропарево""";да;нет данных;песчаное;без освещения;нет;катамаран 200 р.;;;;парки (озелененные городские территории;нет данных;ЮЗАО;Тёплый Стан;нет;да;нет;нет;да;нет;нет;нет;нет данных;нет данных;нет данных;нет данных;нет данных;добавлено;;55.63474771508345;37.49288464363484
27;27;;;ПКиО им. М. Горького;Крымский Вал ул., д. 9;бесплатно;6706,9851;7106,8291;;;пляж;Оливковый пляж;да;нет данных;деревянное;смешанное освещение;нет;лежак и полотенце - 600 руб;;;;парки (озелененные городские территории;нет данных;ЦАО;Якиманка;нет;да;да;да;да;да;да;да;нет данных;нет данных;(495) 995?00?20;http://www.park-gorkogo.com/;info@park-gorkogo.com;добавлено;;55.73074365607973;37.605010653187314
2;8482;;ZELAO_54;Пруд на ручье Ржавка;г.Зеленоград, 5а;бесплатно;-15465,3927;36336,0361;0;;пляж;Пруд на ручье ржавка;нет;свободное посещение;травяное;без освещения;нет;нет;55,993167;37,250045;;пруд;Департамент природопользования и охраны окружающей среды города Москвы;ЗелАО;Савёлки;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;"ГКУ г.Москвы ""Дирекция ЖКХиБ ЗелАО";(499) 210-29-20;www.zelguis.ru;zel_guis@mail.ru;;;55.99305964523849;37.250416238773404
7;547;;DK____231;"ПКиО ""Фили""";ул. Большая Филевская, д.22;0;-1445,8876;9058,4984;0;;пляж;;нет;11:00-20:00;травяное;без освещения;да;0;;;;парки (озелененные городские территории);Департамент культуры города Москвы;ЗАО;Филёвский Парк;нет;да;да;да;да;да;нет;нет;1037739444060;"ГАУК г. Москвы ""ПКиО ""Фили""";(499) 145-45-05;parkfili.com;info@parkfili.com;Подтверждено;;55.74831540809301;37.475230123838884
29;29;;;Парк «Сокольники»;ул. Сокольнический вал 1, стр. 1;250-1600 р. в зависимости от дня;10412,6863;14576,6632;;;пляж;;да;10.00 до 20.00;песчаное;смешанное освещение;нет;нет;;;;парки (озелененные городские территории;нет данных;ВАО;Сокольники;нет;да;да;да;да;нет;нет;нет;нет данных;нет данных;(499) 268-60-26;www.park-sokolniki.ru/;нет данных;добавлено;;55.79777059806325;37.664275965678996
28;28;;;Парк «Северное Тушино»;ул. Свободы, д.56;бесплатно;-2841,1037;21752,2516;;;пляж;;да;нет данных;песчаное;смешанное освещение;да;нет данных;;;;парки (озелененные городские территории;нет данных;СЗАО;Северное тушино;нет;да;да;да;да;да;нет;нет;нет данных;нет данных;(499) 497-03-80;http://mosparks.ru/;нет данных;добавлено;;55.86231956178697;37.45287496275442
12;8492;;ZELAO_64;Озеро Черное;г.Зеленоград, 6 мкрн.;нет;-16303,5944;36164,4535;0;;пляж;Озеро Черное;нет;свободное посещение;песчаное;уличные столбы освещения;нет;нет;55,991637;37,236892;;открытая городская территория;Департамент природопользования и охраны окружающей среды города Москвы;ЗелАО;Савёлки;нет;да;нет;нет;да;нет;нет;да;сведений нет;Дирекция ЖКХиБ ЗелАО;(499) 210-29-20;zelguis.ru;zel_guis@mail.ru;;;55.99149070014442;37.236994971752466
13;8482;;ZELAO_54;Пруд на ручье Ржавка;г.Зеленоград, 5а;бесплатно;-15465,3927;36336,0361;0;;пляж;Пруд на ручье ржавка;нет;свободное посещение;травяное;без освещения;нет;нет;55,993167;37,250045;;пруд;Департамент природопользования и охраны окружающей среды города Москвы;ЗелАО;Савёлки;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;"ГКУ г.Москвы ""Дирекция ЖКХиБ ЗелАО";(499) 210-29-20;www.zelguis.ru;zel_guis@mail.ru;;;55.99305964523849;37.250416238773404
39;39;;;сведения отсутствуют;ул. Ротерта 4;бесплатно;14439,1091;23166,3592;;;зона отдыха у воды;пруд Лось;нет;нет данных;песчаное;без освещения;нет;нет;нет данных;нет данных;;парки (озелененные городские территории);нет данных;ВАО;Метрогородок;нет;нет;нет;нет;нет;нет;нет;нет;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;55.874816608709615;37.72892694359297
18;8494;;ZELAO_66;Каскад Малинских прудов;Зеленоград, поселок Малино;сведения отсутствуют;-18139,0126;32844,8521;0;;пляж;Каскад Малинских прудов;нет;0:00-24:00;натуральное;без освещения;нет;нет;;;;пруд;сведения отсутствуют;ЗелАО;Крюково;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;сведения отсутствуют;нет;нет;нет;подтверждено;;55.961610237071696;37.207809470999024
