ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
1;"Музеон";"Ледяная горка в парке (Горка «Тюбинг»)";"Центральный административный округ";"район Якиманка";"улица Крымский Вал, дом 10";"";"www.muzeon.ru";"(499) 238-33-96";"да";"нет";"нет";"да";"да";"да";"нет";"нет";"37.61060014051798";"55.7387847019796";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"Присутствует прокат тюбингов, ледянок.";"да";"";"";"90561627";
2;"Парк «Северное Тушино»";"Ледяная горка в парке";"Северо-Западный административный округ";"район Северное Тушино";"улица Свободы, дом 56";"";"";"(495) 640-73-55";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.4514409967771";"55.859124607947955";"понедельник 11:00-20:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 10:00-23:00; воскресенье 10:00-23:00";"";"бесплатно";"";"нет";"не приспособлен";"катание на санках";"90561628";
3;"Открытый ледовый каток на территории ВВЦ";"Ледяные горки";"Северо-Восточный административный округ";"Останкинский район";"проспект Мира, дом 119, строение 6";"info@vvcentre.ru";"";"(495) 748-34-20";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.62436824570094";"55.83389074300554";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90561635";
4;"Ледяная горка";"Ледяная горка в парке";"Юго-Восточный административный округ";"район Печатники";"Шоссейная улица, дом 58/4";"sd.pechatniki@gmail.com";"pe4atniki.ru";"(495) 354-28-08";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.71944257696209";"55.67449323377356";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"";"нет";"";"катание на санках";"90561676";
5;"Стадион «Красная Пресня»";"Ледяные горки";"Центральный административный округ";"Пресненский район";"Дружинниковская улица, дом 18, строение 1";"";"www.sport-stadion.ru/kp/";"(495) 784-10-09";"нет";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.57755825616323";"55.75805095021583";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"катание на санках";"90561702";
6;"Ледяная горка";"Ледяные горки";"Центральный административный округ";"Пресненский район";"улица 1905 Года, дом 7, строение 1";"";"";"(495) 605-72-28";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.55972297402291";"55.76102737026283";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"не приспособлен";"";"90561706";
7;"ПКиО «Кузьминки»";"Ледяной город";"Юго-Восточный административный округ";"район Кузьминки";"Кузьминский парк, дом 1, строение 2";"kyzay07@yandex.ru";"www.park-kuzminki.ru";"(499) 175-33-69";"да";"нет";"да";"да";"да";"да";"нет";"да";"37.76803307502007";"55.695862986443515";"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";"";"бесплатно";"";"нет";"";"катание на санках";"90561797";
8;"Парк «Дружба»";"Ледяная горка в парке";"Северный административный округ";"район Левобережный";"Ленинградское шоссе, дом 120, корпус 3";"";"";"";"да";"да";"нет";"нет";"нет";"нет";"нет";"нет";"37.48540595569808";"55.85324172128189";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"бесплатно";"";"нет";"не приспособлен";"катание на санках";"90562016";
9;"Ледяная горка Кожуховский пруд";"Ледяная горка в парке";"Южный административный округ";"Даниловский район";"улица Лобанова, дом 3";"";"";"(495) 952-70-75";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.662172472414554";"55.700738628436454";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90562038";
10;"Ледяная горка";"Ледяные горки";"Центральный административный округ";"район Якиманка";"улица Крымский Вал, дом 8";"1543991@gmail.com";"";"(499) 951-14-85";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.60916661538406";"55.73144997043296";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90562039";
