OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
1;580;580;DK____264;"ПКиО ""Перовский""";ул.Лазо,вл.7;сведения отсутствуют;17482,3518;8359,7966;2122314;0;летняя эстрада, сцена;;нет;6:00-24:00;специальное;без освещения;да;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;ВАО;Перово;нет;нет;да;нет;нет;да;нет;нет;1027700441746;"ГАУК г.Москвы ""ПКиО ""Перовский""";(495) 368-26-21;perovskiypark.ru;ppkio@mail.ru;Подтверждено;;55.74173105886208;37.77660036313177
2;515;515;DK____199;"ГАУК г. Москвы МГС ""Эрмитаж""";ул. Каретный ряд, д.3 стр.7;бесплатно;6854,5746;11619,2473;2111236;0;летняя эстрада, сцена;;нет;10:00-21:00;специальное;смешанное освещение;нет;нет;;;0;досуговые центры;Департамент культуры города Москвы;ЦАО;Тверской;нет;да;да;нет;нет;да;нет;нет;1027739198057;"ГАУК г. Москвы МГС ""Эрмитаж""";(495) 699-08-49;www.mosgorsad.ru;info@mosgorsad.ru;Подтверждено;;55.77127081563793;37.607471194373204
3;406;406;DK____90;Сад культуры и отдыха им. Н.Э. Баумана;ул. Старая Басманная, д.15;бесплатно;10113,3274;11027,5089;0;0;летняя эстрада, сцена;;нет;в соответсвии с расписанием мероприятий;деревянное;смешанное освещение;нет;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;ЦАО;Басманный;нет;да;да;да;да;да;нет;нет;1027739060315;"ГАУК ""Сад культуры и отдыха им. Н.Э. Баумана""";(499) 261-58-83;sadbaumana.ru;info@sbaumana.ru;Подтверждено;;55.765899668002646;37.6593727447733
4;448;448;DK____132;"эстрада ""Солнечная""";Народный пр-т, д.17;сведения отсутствуют;16149,7418;11698,4627;0;0;летняя эстрада, сцена;"эстрада ""Солнечная""";нет;вых. с 12:00 до 20:00;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;ВАО;Измайлово;нет;нет;да;нет;да;да;нет;нет;1037739542719;"ГАУК г. Москвы ""Измайловский ПКиО""";(499) 166-61-19;www.izmailovsky-park.ru;izmpark@mail.ru;Подтверждено;;55.77176361011284;37.75557946153867
5;2591;2591;DOGM__1999;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 302;Северо-Восточный / Алтуфьевский / Инженерная ул. / Дом- 16;бесплатно;5080,2004;23721,85;2108949;9869;летняя эстрада, сцена;;нет;круглосуточно;деревянное;без освещения;да;нет;;;9869;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Алтуфьевский;нет;нет;нет;нет;нет;нет;нет;нет;1037739208517;ГБОУ СОШ №302;(499) 900-90-30;sch302sv.mskobr.ru;scool302@mail.ru;;;55.87999299370823;37.579420338651474
6;558;558;DK____242;Открытая эстрада;ул. Таганская, д. 40-42 стр.9;бесплатно;10620,1084;7958,7137;4302684;0;летняя эстрада, сцена;;нет;с 7.00 до 23.00;асфальтовое, бетонное;смешанное освещение;да;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;ЦАО;Таганский;нет;нет;да;да;да;нет;нет;нет;1027739718203;"ГАУК г. Москвы ПКиО ""Таганский""";(495) 912-27-17;www.parktaganskiy.ru;gpkiotag@mail.ru;Подтверждено;;55.73832600958729;37.6673283843773
7;510;510;DK____194;эстрада;Мантулинская ул., д.5 стр.2;бесплатно;3374,9662;9837,9855;2106452;0;летняя эстрада, сцена;;нет;"будни с 16:00 до 23:00; выходные с 10:00 до 23:00";деревянное;смешанное освещение;да;нет;;;0;досуговые центры;Департамент культуры города Москвы;ЦАО;Пресненский;нет;да;да;нет;да;да;нет;нет;1027739692188;"ГАУК г.Москвы ПКиО ""Красная Пресня""";(499) 256-13-02;www.p-kp.ru;pkiokp@gmail.com;Подтверждено;;55.75530803221432;37.552007505056
8;367;367;DK____51;"ПКиО ""Северное Тушино""";ул. Свободы, д.56;сведения отсутствуют;-2846,2486;21398,0047;0;0;летняя эстрада, сцена;;нет;10:00-22:00;деревянное;лампы дневного освещения;да;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;СЗАО;Северное Тушино;нет;нет;да;да;да;да;нет;нет;1027739926631;"ГАУК г.Москвы ПКиО ""Северное Тушино""";(495) 497-51-84;mosparks.ru;tushpark@yandex.ru;Подтверждено;;55.85913784332655;37.452796652582045
9;4588;4588;DPIOOS92;"ПП ""Серебряный бор""";ул. Таманская 107 б;нет;-5293,2994;13422,2169;;0;летняя эстрада, сцена;;нет;"будни с 00:00 до 24:00; выходные с 00:00 до 24:00";деревянное;лампы дневного освещения;да;нет;;;0;досуговые центры;Департамент природопользования и охраны окружающей среды города Москвы;СЗАО;Хорошёво-Мневники;нет;нет;нет;нет;нет;нет;нет;нет;1047796141326;"ГПБУ ""Управление ООПТ по СЗАО""";(499) 199-01-14;www.oopt-szao.ru;gpbu@oopt-szao.ru;Добавлено;;55.78748131818149;37.413876993411264
10;4589;4589;DPIOOS93;"ПП ""Серебряный бор""";ул. Таманская 110;нет;-5134,5491;13300,5083;;0;летняя эстрада, сцена;;нет;"будни с 00:00 до 24:00; выходные с 00:00 до 24:00";деревянное;уличные столбы освещения;да;нет;;;0;досуговые центры;Департамент природопользования и охраны окружающей среды города Москвы;СЗАО;Хорошёво-Мневники;нет;нет;нет;нет;нет;нет;нет;нет;1047796141326;"ГПБУ ""Управление ООПТ по СЗАО""";(499) 199-01-14;www.oopt-szao.ru;gpbu@oopt-szao.ru;Добавлено;;55.78638991994922;37.41640983295303
11;323;323;DK____7;малая сцена у ГТГ;1-й Голутвинский пер., д.3-5 стр.1;сведения отсутствуют;6804,1479;7500,711;2112917;0;летняя эстрада, сцена;;нет;в соответсвии с расписанием событий на площадках;грунтовое;смешанное освещение;да;нет;;;0;досуговые центры;Департамент культуры города Москвы;ЦАО;Якиманка;нет;нет;да;да;да;да;нет;нет;1037739474090;"ГАУК города Москвы МО ""Музеон""";(499) 238-33-96;muzeon.ru;info@muzeon.ru;Подтверждено;;55.73428006472981;37.606566828715906
