ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
1;"Крюковский лесопарк";"Оборудованное место для зимнего купания в парке";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.23715919898363";"55.99191512670276";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"зимнее купание";"90561659";
2;"Место зимнего купания на ПСС «Кунцево»";"Место для зимнего купания";"Западный административный округ";"район Филёвский Парк";"Большая Филёвская улица, дом 40, строение 1";"mosmchs@mail.ru";"www.mchs.ru";"(495) 435-16-54";"нет";"нет";"да";"да";"нет";"нет";"нет";"да";"37.45713750179216";"55.7403100436013";"понедельник 09:00-18:00; вторник 09:00-18:00; среда 09:00-18:00; четверг 09:00-18:00; пятница 09:00-18:00; суббота 09:00-18:00; воскресенье 09:00-18:00";"";"бесплатно";"";"нет";"";"Крещенское купание";"90562028";
3;"Место зимнего купания на Филёвском бульваре";"Место для зимнего купания";"Западный административный округ";"район Филёвский Парк";"Филёвский бульвар, дом 21";"";"upravafilipark.ru";"(499) 145-66-44";"нет";"нет";"да";"да";"нет";"нет";"нет";"да";"37.47852511536352";"55.76592566360832";"понедельник 09:00-18:00; вторник 09:00-18:00; среда 09:00-18:00; четверг 09:00-18:00; пятница 09:00-18:00; суббота 09:00-18:00; воскресенье 09:00-18:00";"";"бесплатно";"";"нет";"";"Крещенское купание";"90562077";
4;"Лесопарковая зона «Лосиный остров»";"Бабаевский пруд";"Восточный административный округ";"район Гольяново";"Курганская улица, дом 3";"";"elkisland.ru";"(499) 268-60-16";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.80971772425681";"55.83068620721677";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 08:00-20:00; воскресенье 08:00-20:00";"";"бесплатно";"";"нет";"";"зимнее купание";"90562253";
5;"Место зимнего купания в посёлке Рублёво";"Место для зимнего купания";"Западный административный округ";"район Кунцево";"улица Василия Ботылёва, дом 45";"";"kuntsevo.mos.ru";"(499) 141-25-36";"нет";"нет";"да";"да";"нет";"нет";"нет";"да";"37.35143933857922";"55.79081425650421";"понедельник 09:00-18:00; вторник 09:00-18:00; среда 09:00-18:00; четверг 09:00-18:00; пятница 09:00-18:00; суббота 09:00-18:00; воскресенье 09:00-18:00";"";"бесплатно";"";"нет";"";"Крещенское купание";"90562924";
6;"Место зимнего купания на озере Мещерское";"Место для зимнего купания";"Западный административный округ";"район Солнцево";"Воскресенская улица, дом 5";"";"";"(499) 739-86-87";"нет";"нет";"да";"да";"нет";"нет";"нет";"да";"37.41290710873059";"55.67631936193743";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"";"нет";"";"Крещенское купание";"90562947";
7;"Зона отдыха ПИП Измайлово";"Оборудованное место для зимнего купания в парке";"Восточный административный округ";"район Измайлово";"Измайловский проспект, дом 56";"ooptvao@gmail.com";"mosecovao.ru";"(499) 268-51-58";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.814661654464594";"55.76680340125214";"понедельник 00:00-23:55; вторник 00:00-23:55; среда 00:00-23:55; четверг 00:00-23:55; пятница 00:00-23:55; суббота 00:00-23:55; воскресенье 00:00-23:55";"";"бесплатно";"";"нет";"";"зимнее купание";"90562950";
8;"Зона отдыха ПИП Измайлово";"Оборудованное место для зимнего купания в парке";"Восточный административный округ";"район Измайлово";"Измайловский проспект, дом 56";"ooptvao@gmail.com";"mosecovao.ru";"(499) 268-51-58";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.77461627387204";"55.775421343482705";"понедельник 00:00-23:55; вторник 00:00-23:55; среда 00:00-23:55; четверг 00:00-23:55; пятница 00:00-23:55; суббота 00:00-23:55; воскресенье 00:00-23:55";"";"бесплатно";"";"нет";"";"зимнее купание";"90562959";
9;"Зона отдыха «Терлецкая дубрава»";"Терлецкие пруды";"Восточный административный округ";"район Ивановское";"Свободный проспект, дом 2А";"briza99@mail.ru";"";"(495) 697-22-67";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.8133453959233";"55.76845608105781";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"зимнее купание; Крещенское купание";"90562974";
10;"ПИП «Косинский»";"Оборудованное место для зимнего купания в парке";"Восточный административный округ";"район Косино-Ухтомский";"улица Медведева, дом 14";"ooptvao@gmail.com";"www.mosecovao.ru";"(499) 367-89-18";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.86910571338511";"55.71546794750238";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"бесплатно";"";"нет";"";"зимнее купание; Крещенское купание";"90562986";
