OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
24;7608;7608;ZAO___338;сведения отсутствуют;ул. Новоорловская, дом 12;бесплатно;-8577,3313;-3383,3884;16702;0;площадка для настольных игр;;нет;круглосуточно;искусственное;прожекторное освещение;да;нет;;;0;открытая городская территория;префектура;ЗАО;Ново-Переделкино;нет;нет;нет;нет;нет;нет;нет;нет;1077760084203;"Государственное казенное учреждение города Москвы ""Инженерная служба района Ново-Переделкино""";(495) 732-16-03;нет;guisnovo-peredelkino@yandex.ru;Подтверждено;;55.63648980158936;37.36206204530616
25;7638;7638;ZAO___368;сведения отсутствуют;ул. Новопеределкинская, дом 12;бесплатно;-8293,4695;-2806,4836;16732;0;площадка для настольных игр;;нет;круглосуточно;искусственное;прожекторное освещение;да;нет;;;0;открытая городская территория;префектура;ЗАО;Ново-Переделкино;нет;нет;нет;нет;нет;нет;нет;нет;1077760084203;"Государственное казенное учреждение города Москвы ""Инженерная служба района Ново-Переделкино""";(495) 732-16-03;нет;guisnovo-peredelkino@yandex.ru;Подтверждено;;55.64167646206367;37.36655179940717
26;8278;8278;ZAO___1008;сведения отсутствуют;ул. Лукинская, дом 1;бесплатно;-9726,718;-2209,7085;31549;0;площадка для настольных игр;;нет;круглосуточно;искусственное;прожекторное освещение;да;нет;;;0;открытая городская территория;префектура;ЗАО;Ново-Переделкино;нет;нет;нет;нет;нет;нет;нет;нет;1077760084203;"Государственное казенное учреждение города Москвы ""Инженерная служба района Ново-Переделкино""";(495) 732-16-03;нет;guisnovo-peredelkino@yandex.ru;Подтверждено;;55.64700973807303;37.34376930112638
27;8324;8324;ZAO___1054;сведения отсутствуют;ул. Скульптора Мухиной, дом 12;бесплатно;-9883,4264;-3055,5102;31597;0;площадка для настольных игр;;нет;круглосуточно;искусственное;прожекторное освещение;да;нет;;;0;открытая городская территория;префектура;ЗАО;Ново-Переделкино;нет;нет;нет;нет;нет;нет;нет;нет;1077760084203;"Государственное казенное учреждение города Москвы ""Инженерная служба района Ново-Переделкино""";(495) 732-16-03;нет;guisnovo-peredelkino@yandex.ru;Подтверждено;;55.639409688051;37.341311021208554
28;7345;7345;ZAO___75;сведения отсутствуют;ул. Шолохова, дом 7;бесплатно;-9356,1755;-3099,7169;29725;0;площадка для настольных игр;;нет;круглосуточно;искусственное;прожекторное освещение;да;нет;;;0;открытая городская территория;префектура;ЗАО;Ново-Переделкино;нет;нет;нет;нет;нет;нет;нет;нет;1077760084203;"Государственное казенное учреждение города Москвы ""Инженерная служба района Ново-Переделкино""";(495) 732-16-03;нет;guisnovo-peredelkino@yandex.ru;Подтверждено;;55.639023171859726;37.34968523603742
29;7347;7347;ZAO___77;сведения отсутствуют;ул. Шолохова, дом 12;бесплатно;-9217,5701;-3040,9094;29728;0;площадка для настольных игр;;нет;круглосуточно;искусственное;прожекторное освещение;да;нет;;;0;открытая городская территория;префектура;ЗАО;Ново-Переделкино;нет;нет;нет;нет;нет;нет;нет;нет;1077760084203;"Государственное казенное учреждение города Москвы ""Инженерная служба района Ново-Переделкино""";(495) 732-16-03;нет;guisnovo-peredelkino@yandex.ru;Подтверждено;;55.63955404845247;37.351884262517444
1;586;586;DK____270;"ПКиО ""Перовский""";ул.Лазо,вл.7;сведения отсутствуют;17403,3736;8275,3943;2122314;0;площадка для настольных игр;;нет;6:00-24:00;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ВАО;Перово;нет;нет;нет;нет;нет;да;нет;нет;1027700441746;"ГАУК г.Москвы ""ПКиО ""Перовский""";(495) 368-26-21;perovskiypark.ru;ppkio@mail.ru;Подтверждено;;55.740975812816984;37.775337590154315
19;4674;4674;MSPORT54;пункт выдачи спортивного инвентаря ГБУ «ЦФКиС ЮВАО г. Москвы»;ул. Заречье 7;сведения отсутствуют;17340,8894;2535,5801;;106620;площадка для настольных игр;;да;Понедельник с до Вторник с до Среда с 10:00 до 22:00 Четверг с 10:00 до 22:00 Пятница с 10:00 до 22:00 Суббота с 10:00 до 22:00 Воскресенье с 10:00 до 22:00;асфальтовое, бетонное;смешанное освещение;да;"300 руб./день - велосипед; 300 руб./день - лыжероллеры; 150 руб./день - самокат";55.68941806554478;37.77405094890834;39753;досуговые центры;Департамент физической культуры и спорта города Москвы;ЮВАО;Люблино;да;да;нет;нет;нет;да;нет;нет;1057747178873;"Государственное бюджетное учреждение города Москвы ""Центр физической культуры и спорта Юго-Восточного административного округа города Москвы"" Департамента физической культуры и спорта города Москвы";(495) 347-91-31;спортювао.рф;c.yuvao@mossport.ru;внесены изменения;;55.6894249418073;37.773981719642585
20;371;371;DK____55;плоскостные спортивные сооружения;1-й Голутвинский пер., д.3-5 стр.1;бесплатно;6948,3461;7789,1074;2112917;0;площадка для настольных игр;;да;"ежедневно с 08.00 до 22.00 (в осенне-зимний период) ; c 8:00 до 23:00 ( в весенне-летний период)";грунтовое;уличные столбы освещения;нет;бесплатно (ракетки, мячи, фрисби);;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ЦАО;Якиманка;нет;нет;да;нет;да;да;нет;нет;1037739474090;"ГАУК города Москвы МО ""Музеон""";(499) 238-33-96;muzeon.ru;info@muzeon.ru;Подтверждено;;55.736868349072964;37.608869445942254
21;347;347;DK____31;шахматный клуб;ул. Крымский вал, д.9;бесплатно;5780,643;5703,7554;0;0;площадка для настольных игр;;да;10.00-22.00;искусственное;уличные столбы освещения;да;бесплатно;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ЦАО;Якиманка;нет;нет;нет;да;да;да;нет;нет;1027739258249;ГАУК г.Москвы ЦПКиО им.М.Горького;(499) 237-11-00;park-gorkogo.com;sportdosy@yandex.ru;Подтверждено;;55.71815332373166;37.59023700868613
