ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZoneLength;SportZoneLighting;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneHeight;SportZoneService;GLOBALID;
1;"Крюковский лесопарк";"Снежная горка в парке";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.198838748939956";"55.988982282335805";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"30";"без дополнительного освещения";"бесплатно";"";"нет";"";"";"катание на санках";"90561649";
2;"Крюковский лесопарк";"Снежная горка в парке";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.19740108490792";"55.98877824102222";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"30";"без дополнительного освещения";"бесплатно";"";"нет";"";"";"катание на санках";"90561650";
3;"Крюковский лесопарк";"Снежная горка в парке";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.18338922501311";"55.994755005015826";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"25";"без дополнительного освещения";"бесплатно";"";"нет";"";"";"катание на санках";"90561651";
4;"Крюковский лесопарк";"Снежная горка в парке";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.22014621735419";"55.99983092820724";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"3";"без дополнительного освещения";"бесплатно";"";"нет";"";"";"катание на санках";"90561652";
5;"Крюковский лесопарк";"Снежная горка в парке";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.19417170525315";"55.98598756792609";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"4";"без дополнительного освещения";"бесплатно";"";"нет";"";"";"катание на санках";"90561653";
6;"Крюковский лесопарк";"Снежная горка в парке";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.21918062210876";"56.004426283640626";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"3";"без дополнительного освещения";"бесплатно";"";"нет";"";"";"катание на санках";"90561654";
7;"Зона отдыха «Серебряно-Виноградные пруды»";"Снежная горка в парке";"Восточный административный округ";"район Измайлово";"Измайловский проезд, дом 3, корпус 1";"";"";"(495) 291-27-34";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.76643083592187";"55.79571520400977";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"4";"без дополнительного освещения";"бесплатно";"";"нет";"";"3";"";"90561673";
8;"Музеон";"Снежная горка в парке (ледяная горка в парке)";"Центральный административный округ";"район Якиманка";"улица Крымский Вал, дом 10";"";"www.muzeon.ru";"(499) 238-33-96";"да";"нет";"нет";"да";"да";"да";"нет";"нет";"37.610019442000166";"55.736747650421385";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"15";"смешанное освещение";"бесплатно";"";"нет";"";"4";"катание на санках";"90562013";
9;"Снежная горка";"Снежная горка в парке";"Восточный административный округ";"район Преображенское";"Халтуринская улица, дом 12, корпус 1";"";"";"(499) 168-60-77";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.7284543400589";"55.80219737003015";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"5";"освещение газоразрядными лампами";"бесплатно";"";"нет";"";"";"";"90562035";
10;"Снежная горка";"Снежная горка";"Центральный административный округ";"Таганский район";"Рабочая улица, дом 37";"";"";"(495) 911-07-93";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.68782347622576";"55.7413879388218";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"5";"освещение лампами накаливания";"бесплатно";"";"нет";"";"";"";"90562040";
11;"Снежная горка на Калитниковском пруду";"Снежная горка";"Центральный административный округ";"Таганский район";"Большой Калитниковский проезд, дом 11";"";"";"(495) 611-14-66";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.68985583751105";"55.73364059929428";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"5";"освещение газоразрядными лампами";"бесплатно";"";"нет";"";"";"";"90562041";
12;"Дворовая площадка";"Снежная горка в парке";"Восточный административный округ";"район Преображенское";"улица Преображенский Вал, дом 24";"sportdosug@preobr.ru";"preobr.ru";"(495) 168-60-77";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.71472955369952";"55.78960449055113";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"5";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"";"";"90562114";
13;"Снежная горка";"Снежная горка в парке";"Восточный административный округ";"район Преображенское";"Алымова улица, дом 3";"";"";"(499) 168-60-77";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.71224694989698";"55.80279842342283";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"5";"освещение газоразрядными лампами";"бесплатно";"";"нет";"";"";"";"90562157";
14;"ПИП Царицыно, Бирюлевский дендропарк";"Тюбинговая трасса";"Южный административный округ";"район Бирюлёво Восточное";"Липецкая улица, дом 2/16, корпус 7";"oopt.uao@gmail.com";"www.dendropark.info";"(499) 782-78-23";"нет";"нет";"да";"нет";"нет";"да";"нет";"да";"37.67458378881632";"55.5919300244688";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"20";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"";"тюбинг";"90562177";
15;"Московский городской дворец детского (юношеского) творчества";"Снежная горка в парке";"Юго-Западный административный округ";"Гагаринский район";"улица Косыгина, дом 17, корпус 3";"mgddyt@yandex.ru";"mgdvorec.ru";"(495) 939-83-53";"да";"нет";"да";"нет";"да";"нет";"да";"да";"37.55445758137792";"55.70486555952205";"понедельник 19:00-21:00; вторник 19:00-21:00; среда 19:00-21:00; четверг 19:00-21:00; пятница 19:00-21:00; суббота 12:00-21:00; воскресенье 12:00-21:00";"";"50";"освещение газоразрядными лампами";"бесплатно";"";"нет";"";"8";"тюбинг";"90562251";
16;"ПИП «Кузьминки-Люблино»";"Ледяная горка, тюбинг";"Юго-Восточный административный округ";"район Кузьминки";"улица Заречье, дом 8, строение 31";"info@kuzpark.ru";"kuzpark.ru";"(495) 258-45-60";"да";"да";"да";"да";"нет";"нет";"нет";"нет";"37.7881621835011";"55.69265316903582";"понедельник 09:00-20:00; вторник 09:00-20:00; среда 09:00-20:00; четверг 09:00-20:00; пятница 09:00-20:00; суббота 09:00-20:00; воскресенье 09:00-20:00";"";"10";"без дополнительного освещения";"бесплатно";"прокат сноутюбингов платный";"нет";"";"";"катание на санках; тюбинг";"90562267";
17;"Музей-заповедник «Коломенское»";"Снежная горка в парке (ледяная горка в парке)";"Южный административный округ";"район Нагатинский Затон";"проспект Андропова, дом 39, строение 1";"info@mgomz.ru";"mgomz.ru";"(499) 612-11-55";"да";"нет";"да";"да";"да";"нет";"да";"нет";"37.66956676657009";"55.66780031902225";"понедельник 12:00-19:00; вторник 12:00-19:00; среда 12:00-19:00; четверг 12:00-19:00; пятница 12:00-19:00; суббота 12:00-19:00; воскресенье 12:00-19:00";"";"120";"смешанное освещение";"платно";"";"нет";"";"";"катание на санках";"90562387";
18;"Музей-заповедник «Коломенское»";"Снежная горка в парке (ледяная горка в парке)";"Южный административный округ";"район Нагатинский Затон";"проспект Андропова, дом 39, строение 1";"info@mgomz.ru";"mgomz.ru";"(499) 612-11-55";"да";"нет";"да";"да";"да";"нет";"да";"нет";"37.67244209463438";"55.666997046024555";"понедельник 12:00-19:00; вторник 12:00-19:00; среда 12:00-19:00; четверг 12:00-19:00; пятница 12:00-19:00; суббота 12:00-19:00; воскресенье 12:00-19:00";"";"150";"смешанное освещение";"платно";"";"нет";"";"";"катание на санках";"90562388";
19;"Стадион «Металлург»";"Снежная горка";"Центральный административный округ";"Басманный район";"улица Новая Дорога, дом 11, строение 1";"";"www.m-stadium.ru/";"(495) 360-66-77";"нет";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.70206865444072";"55.77482037593744";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"5";"смешанное освещение";"бесплатно";"";"нет";"";"";"";"90562405";
20;"Открытый ледовый каток на Патриарших прудах";"Снежная горка";"Центральный административный округ";"Пресненский район";"Большой Патриарший переулок, дом 7, строение 1";"";"katok.su/roll/moscow/katok_na_patriarshikh_prudakh.html";"(903) 771-27-51";"да";"нет";"да";"да";"да";"нет";"нет";"нет";"37.592236226953766";"55.76384717159699";"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";"";"5";"смешанное освещение";"бесплатно";"";"нет";"";"";"";"90562658";
21;"Горка";"Снежная горка в парке";"Восточный административный округ";"район Метрогородок";"улица Николая Химушина, дом 9, корпус 2";"metro@vao.mos.ru";"www.metrogorodok.mos.ru";"(499) 167-04-05";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.75949176804927";"55.821859687898765";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"3";"без дополнительного освещения";"бесплатно";"";"нет";"";"1,5";"катание на санках";"90562690";
22;"Снежная горка";"Открытая горка для активного отдыха";"Юго-Восточный административный округ";"район Капотня";"1-й квартал Капотня, дом 12";"";"";"(495) 355-19-01";"нет";"нет";"да";"да";"да";"нет";"нет";"нет";"37.791713064701746";"55.639778204804905";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"5";"смешанное освещение";"бесплатно";"";"да";"";"2";"катание на санках";"90562695";
