ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZoneLength;SportZoneLighting;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
1;"Парк «Сокольники»";"Ледяной город";"Восточный административный округ";"район Сокольники";"улица Сокольнический Вал, дом 1, строение 1";"info@park.sokolniki.com";"park.sokolniki.com";"(499) 268-54-30";"да";"нет";"да";"да";"да";"да";"да";"да";"37.67064000812637";"55.79513672408617";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"41";"смешанное освещение";"платно";"";"да";"";"";"90561631";
2;"снежный городок в Свереном Хапиловском сквере";"Снежный городок";"Восточный административный округ";"район Преображенское";"улица Преображенский Вал, дом 24, корпус 3";"";"";"(499) 168-60-77";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.715607131906765";"55.78992264887787";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"15";"освещение газоразрядными лампами";"бесплатно";"";"нет";"";"игра в снежки";"90561637";
3;"Снежная крепость";"Снежный городок";"Восточный административный округ";"район Метрогородок";"Открытое шоссе, дом 26, корпус 1";"metro@vao.mos.ru";"www.metrogorodok.mos.ru";"(499) 167-04-05";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.76212982962765";"55.82550632494866";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"10";"без дополнительного освещения";"бесплатно";"";"нет";"";"игра в снежки";"90561666";
4;"Дворовая площадка";"Снежный городок";"Восточный административный округ";"район Восточное Измайлово";"Измайловский бульвар, дом 67, корпус 1";"v_izml@vao.mos.ru";"";"(495) 463-62-09";"нет";"нет";"да";"нет";"нет";"нет";"нет";"нет";"37.81552174703031";"55.79793922186013";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"3";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"игра в снежки";"90561752";
5;"ГБОУ СОШ № 1143";"Снежный городок";"Юго-Восточный административный округ";"район Люблино";"Краснодарская улица, дом 9";"sch1143@yandex.ru";"sch1143uv.mskobr.ru";"(495) 350-86-62";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.743072175075255";"55.67857474206632";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"20";"без дополнительного освещения";"бесплатно";"";"нет";"";"игра в снежки; катание на санках";"90562026";
6;"снежный городок";"Снежный городок";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 14, корпус 1";"";"";"(499) 168-60-77";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.7268921135019";"55.797559696562686";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"15";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"игра в снежки";"90562072";
7;"снежный городок";"Снежный городок";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 22, корпус 5";"";"";"(499) 168-60-77";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.73388205152977";"55.79524895216042";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"15";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"игра в снежки";"90562073";
8;"Дворовая площадка";"Снежный городок";"Восточный административный округ";"район Измайлово";"Измайловский проезд, дом 5, корпус 1";"izmaylovo@vao.mos.ru";"izmaylowo.mos.ru";"(495) 652-07-31";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.76712149207505";"55.79633784401883";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"10";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"игра в снежки";"90562086";
9;"«Измайловский ПКиО»";"Снежный городок - 21 олимпийские игры";"Восточный административный округ";"район Измайлово";"аллея Большого Круга, дом 7";"izmpark@mail.ru";"izmailovsky-park.ru";"(499) 166-61-19";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.75015449866328";"55.786248041892435";"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";"";"40";"смешанное освещение";"платно";"Входной билет для посещения городка будние дни-200 руб. взрослый и 100 руб. детский, выходные и праздничные дни-250 руб. взрослый и 150 руб. детский.";"да";"";"";"90562136";
10;"Дворовая площадка";"Снежный городок";"Восточный административный округ";"район Преображенское";"Открытое шоссе, дом 2, корпус 6";"sportdosug@preobr.ru";"www.preobr.ru/";"(495) 168-60-77";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.72908154631732";"55.80740923896562";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"15";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"игра в снежки";"90562302";
