ROWNUM;ObjectShortName;SportZoneName;DepartamentalAffiliation;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
1;"Лесопарк «Кусково», ПК № 80";"Досугово-прокатный комплекс";"Департамент природопользования и охраны окружающей среды города Москвы";"Восточный административный округ";"район Вешняки";"улица Юности, дом 2, строение 1";"ooptvao@gmail.com";"mosecovao.ru";"(495) 367-36-81";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.799620877144406";"55.7350505863129";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"Прокат оборудования - платно.";"нет";"";"отдых на природе";"90563610";
2;"Лесопарк «Кусково», ПК № 80";"Досугово-прокатный комплекс";"Департамент природопользования и охраны окружающей среды города Москвы";"Восточный административный округ";"район Вешняки";"улица Юности, дом 2, строение 1";"ooptvao@gmail.com";"mosecovao.ru";"(495) 367-36-81";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.804177868480316";"55.73602140828647";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"Прокат оборудования - платно.";"нет";"";"отдых на природе";"90563611";
3;"Лесопарк «Кусково», ПК № 80";"Новогодняя ель";"Департамент природопользования и охраны окружающей среды города Москвы";"Восточный административный округ";"район Вешняки";"улица Юности, дом 2, строение 1";"ooptvao@gmail.com";"mosecovao.ru";"(495) 367-36-81";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.800894844645384";"55.73411259355222";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"бесплатно";"";"нет";"";"отдых на природе";"90563612";
4;"Крюковский лесопарк";"Точка для пикника";"Департамент природопользования и охраны окружающей среды города Москвы";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.20437519168658";"55.98856272140171";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"отдых на природе";"90561647";
5;"Крюковский лесопарк";"Новогодняя ель";"Департамент природопользования и охраны окружающей среды города Москвы";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.256323852546295";"55.98276303944561";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"отдых на природе";"90561648";
6;"Крюковский лесопарк";"Точка для пикника";"Департамент природопользования и охраны окружающей среды города Москвы";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.19888166428426";"55.98891026787757";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"отдых на природе";"90561655";
7;"Крюковский лесопарк";"Точка для пикника";"Департамент природопользования и охраны окружающей среды города Москвы";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.179183521278645";"56.00121079207664";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"отдых на природе";"90561656";
8;"Крюковский лесопарк";"Точка для пикника";"Департамент природопользования и охраны окружающей среды города Москвы";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.17851394979038";"56.00102566725455";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"отдых на природе";"90561657";
9;"Крюковский лесопарк";"Точка для пикника";"Департамент природопользования и охраны окружающей среды города Москвы";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.20461086273968";"55.98933635147143";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"отдых на природе";"90561660";
10;"Природный заказник Медведковский";"Новогодняя ель";"Департамент природопользования и охраны окружающей среды города Москвы";"Северо-Восточный административный округ";"район Северное Медведково";"Студёный проезд, дом 2, корпус 1";"leshoz_sewer@mail.ru";"www.ooptsvao.mos.ru";"(495) 579-29-76";"нет";"нет";"нет";"нет";"нет";"да";"нет";"нет";"37.652229114752146";"55.89291308561614";"понедельник 07:00-23:00; вторник 07:00-23:00; среда 07:00-23:00; четверг 07:00-23:00; пятница 07:00-23:00; суббота 07:00-23:00; воскресенье 07:00-23:00";"";"бесплатно";"";"нет";"";"отдых на природе";"90561662";
