OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
25;2711;2711;;;Щербаковская ул.  дом 36А;бесплатно;14688,9801;12823,1517;2138283;;Автодром детский учебный;;Да; 9.00-21.00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Соколиная Гора;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027700481654;ГБОУ СОШ №1947;(495) 366-68-00;schv1947.mskobr.ru;sc1947@yandex.ru;;являеться учебным детским автодромом;55.781911306949205;37.73236437874424
26;1417;1417;;;"ул. Маршала Тухачевского  дом 58; корп. 2";бесплатно;-2549,8959;13202,3592;2114733;;Автодром детский учебный;;Нет; 8:30-19:00;специальное;уличные столбы освещения;Да;Нет;;;;дошкольные учреждения;Департамент образования города Москвы;СЗАО;Хорошёво-Мневники;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037739147929;Государственное образовательное учреждение гимназия №1517;(499) 720-25-67;gymsz1517.mskobr.ru;gym1517@szouo.ru;;являеться учебным детским автодромом;55.78552948305543;37.45760935343091
27;1783;1783;;ГБОУСОШ№1275;"ул. Достоевского  дом 25; Стр- 1";бесплатно;6811,7838;13003,8162;2111194;;Автодром детский учебный;ГБОУСОШ №1275;Нет; с 9:00 до 21:00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЦАО;Тверской;Нет;Да;Нет;Нет;Да;Да;Нет;Да;1027739383760;ГБОУ СОШ №1275;(495) 684-30-30;schuc1275.mskobr.ru;sch1275@mail.ru;;являеться учебным детским автодромом;55.78370713955144;37.606823396918614
28;3792;3792;;;"ул. Маршала Василевского  дом 3; корп. 2";бесплатно;-1662,9898;15082,9808;2131121;;Автодром детский учебный;;Нет; будни с 08:00 до 20:00;асфальтовое, бетонное;без освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;СЗАО;Щукино;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1127747122084;Государственное образовательное учреждение г. Москвы средняя образовательная школа №1874;(499) 193-53-58;1874.my1.ru;sch1874@szouo.ru;;являеться учебным детским автодромом;55.802424633128915;37.47173382018888
29;1457;1457;;;"ул. Свободы  дом 81; корп. 1";бесплатно;-3317,7559;21695,8756;2113829;;Автодром детский учебный;;Нет; будни с 15:00 до 20:00, выходные с 12:00 до 21:00;асфальтовое, бетонное;без освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;СЗАО;Северное Тушино;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037739302776;ГБОУ лицей № 1571;(495) 492-35-11;нет;нет;;являеться учебным детским автодромом;55.86181006819117;37.44526317659758
30;2122;2122;;;ул. Бестужевых  дом 25Б;бесплатно;7225,3966;22794,4043;2103659;;Автодром детский учебный;;Нет; с 9.00 до 21.00;асфальтовое, бетонное;без освещения;Нет;бесплатно;;;;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Отрадное;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;1027700543551;ГБОУ СОШ № 606;(499) 204-05-04;schz606sv.mskobr.ru;sch606@yandex.ru;;являеться учебным детским автодромом;55.871636245190395;37.61367193254103
1;3034;3034;;;Широкая ул.  дом 16Д;бесплатно;10379,3925;24436,4848;2109146;;Автодром детский учебный;;Нет; будни с 10:00 до 19:00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;дошкольные учреждения;Департамент образования города Москвы;СВАО;Северное Медведково;Да;Да;Да;Нет;Да;Да;Нет;Да;1037739130824;ГБОУЦРР-детский сад №1888;(499) 479-17-28;www.vsesadiki.ru/detskiy-sad-1888.html;dou1888@yandex.ru;;являеться учебным детским автодромом;55.88632774522233;37.66411774429253
2;1915;1915;;;ул. Лескова  дом 8А;бесплатно;6097,3301;25544,5638;2114128;;Автодром детский учебный;;Нет; 10:00 до 21:00;асфальтовое, бетонное;уличные столбы освещения;Да;бесплатно;;;;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Бибирево;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037739094304;ГБОУ СОШ №254;(499) 909-80-38;sch254sv.mskobr.ru;shc254@yandex.ru;;являеться учебным детским автодромом;55.896352146039334;37.59571231763855
3;2846;2846;;;Зеленоград, пл. Колумба  дом 1;бесплатно;-19279,8784;35759,9459;2106520;;Автодром детский учебный;;Да; Ежедневно 09.00-20.00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;учреждения (центры) дополнительного образования;Департамент образования города Москвы;ЗелАО;Старое Крюково;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;1027739338615;ГБОУ ЗДТДиМ;(499) 731-14-61;www.dvtv.zou.ru;dvtv@zou.ru;;являеться учебным детским автодромом;55.987746785680855;37.18933286413243
4;435;435;;школа;"Воронежская ул.  дом 46; корп. 2";бесплатно;15955,4021;-6467,2548;2123144;;Автодром детский учебный;автогородок;Нет; с 8:00 до 21:00 суббота с 8:00 до 15:00;грунтовое;уличные столбы освещения;Нет;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЮАО;Орехово-Борисово Южное;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027739613527;ГБОУ СОШ № 949;(495) 399-06-36;www.sch949.ru;sch949@sinergi.ru;;являеться учебным детским автодромом;55.60861063509876;37.75143375922094
5;454;454;;;"Братеевская ул.  дом 23; корп. 4";бесплатно;16296,655;-3794,1834;3800867;;Автодром детский учебный;;Нет; будни с 18:00 до 22:00, выходные с 10:00 до 22:00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;дорожки велосипедные, беговые-прогулочные;Департамент образования города Москвы;ЮАО;Братеево;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027739363563;ГБОУ СОШ № 1034;(495) 342-84-00;schu1034.mskobr.ru;sch1034@sinergi.ru;;являеться учебным детским автодромом;55.6326084576936;37.75700556134804
6;2553;2553;;;Поклонная ул.  дом 16;бесплатно;1456,9225;7492,1165;2127879;;Автодром детский учебный;;Нет; будни с 10:00-20:00;асфальтовое, бетонное;без освещения;Нет;Нет;;;;учреждения (центры) дополнительного образования;Департамент образования города Москвы;ЗАО;Дорогомилово;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027739678570;"ГБОУ ЦРТДиЮ ""Киевский""";(499) 148-04-59;cdt-kievsky.mskzapad.ru;cdtkievsky@yandex.ru;;являеться учебным детским автодромом;55.734247211850914;37.52144723758135
7;3894;3894;;;"Большая Переяславская ул.  дом 1; Стр- 1";бесплатно;9058,5786;12594,6755;2126216;;Автодром детский учебный;;Нет; 15:00-22:00;асфальтовое, бетонное;уличные столбы освещения;Нет;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЦАО;Мещанский;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027739508774;ГБОУ СОШ № 1840;(495) 680-07-44;www.1840.ru;sch1840@ya.ru;;являеться учебным детским автодромом;55.77999605697264;37.642620630091784
8;1657;1657;;Автогородок;"ул. Маршала Тухачевского  дом 20; корп. 1";бесплатно;-1203,129;13045,3734;2114768;;Автодром детский учебный;Автогородок;Нет; 9:00-20:00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;автодромы;Департамент образования города Москвы;СЗАО;Хорошёво-Мневники;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037739525273;"ГБОУ ДТДМ ""Хорошево""";(499) 192-91-59;www.dtdmhor.ru;cdth@szouo.ru;;являеться учебным детским автодромом;55.78412501578505;37.47907668425127
9;821;821;;;"Байкальская ул.  дом 28; корп. 3";бесплатно;19104,5751;16530,6843;2109316;;Автодром детский учебный;;Нет; пн-сб 10:00 до 19:00;асфальтовое, бетонное;без освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Гольяново;Нет;Нет;Нет;Нет;Да;Да;Нет;Нет;1117746350809;"ГБОУ ЦДОД ""Гольяново""";(495) 466-81-10;нет;нет;;являеться учебным детским автодромом;55.815057451709194;37.80299707079897
10;3500;3500;;;"Волоколамское шоссе  дом 112; корп. 3";бесплатно;-4677,0071;18152,9763;2113723;;Автодром детский учебный;;Нет; удни в отведенное учебное время;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;учреждения среднего профессионального образования;Департамент образования города Москвы;СЗАО;Покровское-Стрешнево;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1057746107308;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический техникум № 47 имени В.Г. Федорова (ГБОУ СПО ПТ № 47);(495) 491-45-67;k47.mskcollege.ru;47@prof.educom.ru;;являеться учебным детским автодромом;55.829977706508295;37.42361761443936
11;2199;2199;;;"Осташковская ул.  дом 30; корп. 2";бесплатно;11184,5473;25015,9849;2114132;;Автодром детский учебный;;Нет; Будни с 15-00 до 20-00, выходные с 9-00 до 21-00;асфальтовое, бетонное;смешанное освещение;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Северное Медведково;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037739612503;ГБОУ ЦО № 951;(495) 475-09-00;www.co951sv.mskobr.ru;sch951@yandex.ru;;являеться учебным детским автодромом;55.891514686677645;37.67700824815447
12;530;530;;;"ул. Генерала Белова  дом 49; корп. 1";бесплатно;14426,6866;-6749,8787;2122852;;Автодром детский учебный;;Нет; будни: с 18:00 до 21:00, суббота с 10:00 до 17:00, воскресеньн с 10:00 до 15:00;асфальтовое, бетонное;без освещения;Нет;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЮАО;Орехово-Борисово Южное;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037724065554;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа № 1771;(495) 399-38-65;schnu1771.mskobr.ru;sch1771@sinergi.ru;;являеться учебным детским автодромом;55.60611947154954;37.72716236853968
14;299;299;;;"Каширское шоссе  дом 116; корп. 3";бесплатно;13652,8984;-6690,2931;3801962;;Автодром детский учебный;;Нет; будни с 16:00 до 21:00, выходные с 12:00 до 21:00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЮАО;Орехово-Борисово Южное;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027739477556;ГБОУ СОШ №544;(495) 392-27-27;sch544.edusite.ru;sch544@sinergi.ru;;являеться учебным детским автодромом;55.606676784809586;37.714888064736606
15;1256;1256;;;Капотня, 3-й квартал  дом 24;бесплатно;18849,1999;-3440,5012;2129807;;Автодром детский учебный;;Нет; с 18.00 до 21.00, выходные с 10.00 до 21.00;асфальтовое, бетонное;без освещения;Нет;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЮВАО;Капотня;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037700077403;"ГБОУ г. Москвы Центр образования ""Школа здоровья"" № 1858";(495) 355-00-00;www.1858@mail.ru;1858@mail.ru;;являеться учебным детским автодромом;55.635693569286566;37.79755640515148
16;3645;3645;;;"ул. Кошкина  дом 13; корп. 2";бесплатно;11092,0275;-2896,9434;3801950;;Автодром детский учебный;автогороок;Нет; будни с 15.00-21.00,выходные с 9.00-21.00;асфальтовое, бетонное;уличные столбы освещения;Нет;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЮАО;Москворечье-Сабурово;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1127747111777;ГБОУ СОШ № 982;(499) 323-00-19;schu982.mskobr.ru/novosti/vybor_cveta_shkol_noj_formy;sch982@sinergi.ru;;являеться учебным детским автодромом;55.640812585395686;37.67440681989241
17;1259;1259;;;ул. Перерва  дом 44;бесплатно;14942,2783;-1698,3061;2129873;;Автодром детский учебный;;Нет; ежедневно с 7:00 до 21:00;асфальтовое, бетонное;без освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЮВАО;Марьино;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027700501410;ГБОУ цо №1881;(499) 356-38-11;couv1881.mskobr.ru;ce1881@mail.ru;;являеться учебным детским автодромом;55.65147636728125;37.73561499061571
18;595;595;;ГБОУ ДООЦ;"Никулинская ул.  дом 5; корп. 3";бесплатно;-2639,0947;67,4532;3102568;;Автодром детский учебный;"Автогородок ""Москва""";Нет; с 8.00 до 20.00;асфальтовое, бетонное;прожекторное освещение;Да;Нет;;;;учреждения (центры) дополнительного образования;Департамент образования города Москвы;ЗАО;Тропарево-Никулино;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1077746154661;ГБОУ ДООЦ;(499) 792-03-01;dooc-bassein.mskzapad.ru;"goudooc@mail.ru; goudooc@gmail.com";;являеться учебным детским автодромом;55.66755454369541;37.45631947880716
19;1122;1122;;;"Ломоносовский просп.  дом 4; корп. 3";бесплатно;3291,687;2298,0342;2101144;;Автодром детский учебный;;Нет; с 8-30 до 18-00;специальное;уличные столбы освещения;Да;бесплатно;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЮЗАО;Гагаринский;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027700338654;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 120;(499) 134-40-17;sch120.mosuzedu.ru;school120@mail.ru;;являеться учебным детским автодромом;55.6875865794827;37.550593493768915
20;3694;3694;;;1-й Кожуховский пр.  дом 17;бесплатно;10411,5261;4587,1688;2124462;;Автодром детский учебный;;Нет; Будни: 17:00-20:00, выходные: 9:00-20:00;асфальтовое, бетонное;без освещения;Нет;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЮАО;Даниловский;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1127746700839;ГБОУ гимназия №1272;(495) 710-36-39;"www.cou1272.mskobr.ru; zo1272.edusite.ru";sch1272@sinergi.ru;;являеться учебным детским автодромом;55.70804821198783;37.66388088568832
21;1711;1711;;;2-я Фрунзенская ул.  дом 7А;бесплатно;5096,585;6143,3455;2121159;;Автодром детский учебный;;Нет; с 9:00 до 21:00;асфальтовое, бетонное;без освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЦАО;Хамовники;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027700507042;ГБОУ СОШ № 171;(499) 242-45-58;schc171.mskobr.ru;sch171@mail.ru;;являеться учебным детским автодромом;55.72210912678643;37.579360367450626
22;628;628;;;Новорогожская ул.  дом 9;бесплатно;11447,8548;8436,9629;2130769;;Автодром детский учебный;;Нет; будни с 8:00-21:00, выходные с 8:00-21:00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЦАО;Таганский;Нет;Нет;Нет;Нет;Нет;Да;Нет;Да;1037739437537;ГБОУ ЦО №1468;(495) 678-73-78;coc1468.mskobr.ru; tsentr1468@mail.ru;;являеться учебным детским автодромом;55.7426028432801;37.68052595177452
23;1705;1705;;;"ул. Климашкина  дом 13Б; Стр- 1";бесплатно;4477,0118;11188,6388;2116566;;Автодром детский учебный;;Нет; будние дни с 16.00 до 21.00, выходные с 12.00 до 21.00;асфальтовое, бетонное;без освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЦАО;Пресненский;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037739309541;ГБОУ СОШ №96;(499) 252-31-24;www.sch96.ru;sch96sch@yandex.ru;;являеться учебным детским автодромом;55.767430507327965;37.5695813868865
24;1721;1721;;;"Скорняжный пер.  дом 3; Стр- 1";бесплатно;9038,5365;11847,0787;2109812;;Автодром детский учебный;;Нет; c 7:00 до 22:00 ежедневно;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЦАО;Красносельский;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027739855714;ГБОУ СОШ №282;(495) 608-50-38;www.школа-282.рф;sch282@sch282.ru;;являеться учебным детским автодромом;55.77328177347163;37.6422767552723
31;3521;3521;;;Напольный пр.  дом 7;бесплатно;20758,174;10200,8239;2121815;;Автодром детский учебный;;Нет; будни с 9:00 до 20:00;асфальтовое, бетонное;прожекторное освещение;Да;Нет;;;;автодромы;Департамент образования города Москвы;ЦАО;Красносельский;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1057708035417;ГБОУ СПО ЖК №52;(495) 680-34-21;k52.mskcollege.ru;52@prof.educom.ru;;являеться учебным детским автодромом;55.75813791054259;37.82889458233685
32;1845;1845;;"ГБОУ ДООЦ ""Истра""";"Климентовский пер.  дом 118; Стр- 1";бесплатно;8354,6094;8191,3547;;;Автодром детский учебный;трасса;Да; с 09:00 до 21:00;натуральное;смешанное освещение;Нет; 450м-200р. (дети), взрослым - 2000р. в час.;;;;учреждения (центры) дополнительного образования;Департамент образования города Москвы;ЦАО;Замоскворечье;Нет;Да;Да;Да;Да;Да;Нет;Да;1027739748805;"ГБОУ ДООЦ ""Истра""";(495) 747-07-06;istra.dop.mskobr.ru;istradooc@gmail.com;;являеться учебным детским автодромом;55.74045934382553;37.63126853191881
33;2986;2986;;;"ул. Генерала Глаголева  дом 28; корп. 2";бесплатно;-1875,5655;13429,7932;;;Автодром детский учебный;;Нет; будни с 7.00 до 19.00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;дошкольные учреждения;Департамент образования города Москвы;СЗАО;Хорошёво-Мневники;Нет;Нет;Нет;Да;Нет;Нет;Нет;Да;1097746581470;"ГБОУ детский сад № 586 ""Обыкновенное чудо""";(495) 947-06-80;нет;нет;;являеться учебным детским автодромом;55.78757545428836;37.46835607820111
34;3513;3513;;;Зеленоград, 8-й микрорайон  дом 858;бесплатно;-19610,8264;34746,2646;;;Автодром детский учебный;;Нет; с 9:00 до 19:00;асфальтовое, бетонное;уличные столбы освещения;Нет;Нет;;;;автодромы;Департамент образования города Москвы;ЗелАО;Крюково;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;1057735005680;ГБОУ СПО ТК № 49;(499) 732-92-88;нет;нет;;являеться учебным детским автодромом;55.97862919872928;37.1841045760396
