OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;LENGTH;WIDTH;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
24;7150;7150;VAO___326;сведения отсутствуют;Хабаровская ул. 19к1;бесплатно;20319,3099;17679,5666;28642;91437;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14035;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0;55.82532685228332;37.82245882386753
25;6886;6886;VAO___62;сведения отсутствуют;Алтайская ул. 34;бесплатно;20965,9529;17090,6029;0;91439;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14037;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0;55.820009623661306;37.83273108691428
26;7008;7008;VAO___184;спортивная площадка;Хабаровская ул. 12/23;бесплатно;20626,6902;17257,5553;0;94565;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14061;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0;55.82152362100342;37.827331359136814
27;7009;7009;VAO___185;сведения отсутствуют;Черницынский пр. 10к2;бесплатно;18078,8138;17311,3981;0;101485;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14061;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0;55.822108651221725;37.78668649157868
28;7023;7023;VAO___199;сведения отсутствуют;Сахалинская ул. 7к1;бесплатно;19869,9143;17842,6825;0;93176;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14023;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Внесены изменения;-0;55.82681045745829;37.8153004020189
29;7024;7024;VAO___200;сведения отсутствуют;Сахалинская ул. 10/17;бесплатно;20066,2355;18085,9674;0;91442;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14038;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0;55.82898744432701;37.81845074787274
49;7144;7144;VAO___320;сведения отсутствуют;Щелковский пр-д, д. 15 к. 1, 2;бесплатно;17433,4938;15693,6001;29878;101417;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17796;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.80760193088402;37.776288030456364
7;592;592;DK____276;Тренажеры;ул. Менжинского, д.6;бесплатно;11824,476;22569,4405;0;0;городок тренажерный (воркаут);Тренажеры;нет;06.00-24.00;специальное;2500;1800;без освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;СВАО;Лосиноостровский;нет;да;да;да;да;да;нет;нет;1027739522030;"ГАУК г. Москвы ""ПКиО ""Бабушкинский""";(499) 184-34-22;www.parkbabushkinskiy.jimdo.com;babkapark@mail.ru;Подтверждено;;55.86952597531887;37.68713029149364
8;7014;7014;VAO___190;сведения отсутствуют;3-я Парковая ул. 30;бесплатно;17889,9009;14657,7543;0;91897;городок тренажерный (воркаут);;нет;ежедневно до 22.00;искусственное;600;300;уличные столбы освещения;нет;нет;;;14796;физкультурно-оздоровительные комплексы;муниципалитет;ВАО;Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1077758644853;"ГКУ ""ИС Измайлово""";(499) 367-11-25;www.gu-is.ru;is_izmailovo@mail.ru;Внесены изменения;-0;55.79828188482707;37.783499277743886
9;7041;7041;VAO___217;сведения отсутствуют;Измайловский пр. 5к2;бесплатно;16904,5906;14454,2893;8658;91896;городок тренажерный (воркаут);;нет;ежедневно до 22.00;искусственное;300;600;уличные столбы освещения;нет;нет;;;14795;физкультурно-оздоровительные комплексы;муниципалитет;ВАО;Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1077758644853;"ГКУ ""ИС Измайлово""";(499) 367-11-25;www.gu-is.ru;is_izmailovo@mail.ru;Внесены изменения;-0;55.79648966578992;37.76777658422795
