ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZoneLighting;SportZoneSurfaceType;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;Scheme;GLOBALID;
1;"Дворец спорта «Сокольники»";"Ледовый дворец «Сокольники»";"Восточный административный округ";"район Сокольники";"улица Сокольнический Вал, дом 1Б";"info@sokolniki.info";"ld-sokolniki.ru";"(495) 645-20-65";"да";"да";"да";"нет";"нет";"нет";"да";"да";"37.6715640924293";"55.792926338453164";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"освещение лампами накаливания";"искусственный лед";"платно";"";"да";"";"катание на коньках; хоккей";"";"90562254";
2;"Дворец спорта «Измайлово»";"Каток";"Восточный административный округ";"район Измайлово";"Сиреневый бульвар, дом 2, строение 1";"";"";"(499) 166-89-45";"да";"да";"да";"да";"да";"нет";"нет";"нет";"37.773629136142304";"55.79921695876321";"понедельник 07:00-23:00; вторник 07:00-23:00; среда 07:00-23:00; четверг 07:00-23:00; пятница 07:00-23:00; суббота 07:00-23:00; воскресенье 07:00-23:00";"";"освещение лампами накаливания";"искусственный лед";"платно";"";"да";"";"хоккей";"";"90563144";
3;"Каток «Ледовое волшебство»";"Каток «Ледовое волшебство»";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Волгоградский проспект, дом 168Д, строение 11";"";"dedmorozmos.ru";"(495) 657-60-49";"нет";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.810304235733966";"55.6885119214877";"понедельник 14:00-16:00; вторник 14:00-16:00; среда 14:00-16:00; четверг 14:00-16:00; пятница 14:00-16:00; суббота 15:00-20:00; воскресенье 17:00-20:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"";"нет";"";"катание на коньках";"facilities.ias.mossport.ru/Application/GetPhotoFile/134187?sportZonePhotoId=2333";"90562636";
4;"Каток «Альпийский лед»";"Каток";"Юго-Восточный административный округ";"район Кузьминки";"улица Юных Ленинцев, дом 52";"info@katokalp.ru";"";"(926) 536-96-86";"да";"да";"да";"да";"да";"нет";"нет";"нет";"37.76548504172257";"55.699789229219924";"понедельник 09:00-23:00; вторник 09:00-23:00; среда 09:00-23:00; четверг 09:00-23:00; пятница 09:00-23:00; суббота 09:00-23:00; воскресенье 09:00-23:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"170-250 руб/час (свои коньки) 230/310 руб/час (коньки в прокат)";"нет";"";"";"facilities.ias.mossport.ru/Application/GetPhotoFile/132760?sportZonePhotoId=1470";"90562221";
5;"Ледовый дворец спорта «Вымпел»";"Вымпел";"Восточный административный округ";"район Новогиреево";"Федеративный проспект, дом 31А, строение 1";"vimpellds@mgfso.ru";"www.mgfso.ru";"(499) 748-43-50";"нет";"нет";"нет";"нет";"да";"да";"нет";"нет";"37.824674341754374";"55.75487288526996";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"освещение лампами накаливания";"искусственный лед";"бесплатно";"";"да";"не приспособлен";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/132811?sportZonePhotoId=1644";"90563314";
6;"ДЮСШ «Снежные барсы» ГБОУ ДОДСН ФСО «Хоккей Москвы» Москомспорта";"Каток Новокосинский";"Восточный административный округ";"район Косино-Ухтомский";"улица Николая Старостина, дом 8";"dusch3@yandex.ru";"снежныебарсы.рф";"(495) 700-51-52";"нет";"да";"да";"да";"да";"нет";"нет";"да";"37.85318088053089";"55.730456820675286";"понедельник 06:00-22:00; вторник 06:00-22:00; среда 06:00-22:00; четверг 06:00-22:00; пятница 06:00-22:00; суббота 06:00-22:00; воскресенье 06:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"";"да";"приспособлен для лиц с нарушением ОДА";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133256?sportZonePhotoId=1856";"90563551";
7;"Спортивный комплекс ЦСКА";"Ледовый дворец";"Северный административный округ";"Хорошёвский район";"Ленинградский проспект, дом 39, строение 41";"brd@cska.ru";"uslugi.cska.ru";"(495) 613-18-77";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.54041649641669";"55.79161004776561";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"";"нет";"частично приспособлен";"";"facilities.ias.mossport.ru/Application/GetPhotoFile/131898?sportZonePhotoId=2172";"90562159";
8;"Каток «Ледо»";"Каток Ледо";"Восточный административный округ";"район Вешняки";"улица Юности, дом 1";"ledo55@mail.ru";"rusled.ru";"(916) 023-54-76";"да";"да";"да";"да";"да";"нет";"нет";"нет";"37.219979681625034";"55.99860736619025";"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";"";"освещение лампами накаливания";"искусственный лед";"платно";"250 руб.";"да";"";"катание на коньках";"";"90562187";
9;"СК «Вдохновение» ГБОУ ДОДСН «СДЮСШОР «Воробьевы горы» Москомспорта";"Ледовый каток крытый";"Центральный административный округ";"Таганский район";"Новорогожская улица, дом 25, строение 4";"";"vorobgori.mossport.ru/";"(495) 678-28-97";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.689880740961605";"55.74167153857357";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"";"нет";"";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133061?sportZonePhotoId=1843";"90563499";
10;"ФОК «Новая лига»";"Ледовый каток (искусственный)";"Центральный административный округ";"Мещанский район";"улица Сущёвский Вал, дом 56, строение 1";"sales@fitnessliga.ru";"fitnessliga.ru";"(495) 799-93-05";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.620923480576685";"55.79127578115098";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"";"нет";"";"кёрлинг";"";"90562066";
