ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
1;"ГБОУ ДОДСН «СДЮСШОР № 111» Москомспорта";"Лыжная база";"Зеленоградский административный округ";"район Савёлки";"город Зеленоград, корпус 348Б";"s111@mossport.ru";"";"(499) 734-20-86";"нет";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.224056946919674";"55.99508686889386";"понедельник 10:00-16:00; вторник 10:00-16:00; среда 10:00-16:00; четверг 10:00-16:00; пятница 10:00-16:00; суббота 10:00-16:00; воскресенье 10:00-16:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90563068";
2;"Лыжная база";"Лыжная база";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 33, корпус 2";"";"";"(495) 306-36-45";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.875697876758004";"55.73895919476618";"понедельник 09:00-18:00; вторник 09:00-18:00; среда 09:00-18:00; четверг 09:00-18:00; пятница 09:00-18:00; суббота 09:00-18:00; воскресенье 09:00-18:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90563172";
3;"Лыжная база";"Лыжная база";"Северо-Восточный административный округ";"район Южное Медведково";"Заповедная улица, дом 3";"";"";"(495) 123-45-67";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.63506163881085";"55.86582439900704";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90563282";
4;"Лыжная база";"Лыжная база";"Северо-Западный административный округ";"район Северное Тушино";"улица Вилиса Лациса, дом 26";"";"";"(499) 493-01-80";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.41292037138141";"55.86252183260711";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90563284";
5;"ФСК «Медик»";"Лыжная база";"Западный административный округ";"район Кунцево";"улица Маршала Тимошенко, дом 10";"";"";"(499) 149-30-13";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.39352992874103";"55.741193671683";"понедельник 09:00-17:00; вторник 09:00-17:00; среда 09:00-17:00; четверг 09:00-17:00; пятница 09:00-17:00; суббота 09:00-17:00; воскресенье 09:00-17:00";"";"бесплатно";"";"нет";"не приспособлен";"";"90563571";
6;"Лыжная база";"Лыжная база";"Зеленоградский административный округ";"район Старое Крюково";"Озёрная аллея, дом 3";"";"";"(499) 762-33-60";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.225070065927895";"55.98243895750725";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90563594";
7;"Лыжная база";"Лыжная база";"Северный административный округ";"Головинский район";"Михалковская улица, дом 38";"";"";"(495) 754-98-48";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.51893969283116";"55.84184182300394";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90563638";
8;"ФОК «Яуза» ГБУ «ЦФКиС СВАО г. Москвы»";"Лыжная база";"Северо-Восточный административный округ";"Бабушкинский район";"Олонецкий проезд, дом 5";"sportsvao@mail.ru";"svaosport.ru";"(499) 798-03-85";"да";"нет";"да";"да";"да";"нет";"нет";"да";"37.664072883381756";"55.880866881091116";"понедельник 09:00-19:00; вторник 09:00-19:00; среда 09:00-19:00; четверг 09:00-19:00; пятница 09:00-19:00; суббота 09:00-19:00; воскресенье 09:00-19:00";"";"бесплатно";"";"нет";"частично приспособлен";"";"90563706";
9;"КП ОУСЦ «Крылатское»";"Лыжная база";"Западный административный округ";"район Крылатское";"Крылатская улица, дом 2, строение 1";"moscow-rowing@mail.ru";"canalmoscow.ru";"(499) 140-86-58";"да";"да";"да";"да";"да";"да";"нет";"да";"37.441275807851966";"55.75519728985156";"понедельник 09:00-20:00; вторник 09:00-20:00; среда 09:00-20:00; четверг 09:00-20:00; пятница 09:00-20:00; суббота 09:00-20:00; воскресенье 09:00-20:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90563819";
10;"ФОК «Альбатрос» ГБУ «ЦФКиС ЗАО г. Москвы»";"Лыжная база";"Западный административный округ";"район Внуково";"Рассказовская улица, дом 31";"u.zao@mossport.ru";"zaosport.ru";"(499) 144-39-22";"да";"нет";"да";"да";"да";"нет";"нет";"нет";"37.31093772022495";"55.61344079733363";"понедельник 07:30-18:00; вторник 07:30-18:00; среда 07:30-18:00; четверг 07:30-18:00; пятница 07:30-18:00; суббота 08:00-18:00; воскресенье 08:00-18:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90561633";
