UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;VEDOM;PHONE;OKRUG;RAYON;TYPE;LENGTH_KM;LEN_SVET;MODDATE;MODUSER;LAT;LON
10320;Аршиновский парк;Лыжная трасса;Улица Бакинская,       дом 20;37,655314;55,621522;;;;;;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;(495) 621-88-68;ЮАО;Царицыно;Лыжные трассы и базы (сезонные);1,2;0;0;;55.621522;37.655314
16325;Кировоградские пруды;Лыжная трасса;Улица Кировоградская, дом 32;37,599635;55,6062;;;;;;Префектура;(495) 315-44-64;ЮАО;Чертаново Центральное;Лыжные трассы и базы (сезонные);1;1;0;;55.6062;37.599635
17065;Сквер на ул.Медынская;Лыжная трасса;Улица Медынская;37,648197;55,582913;;;;;;Префектура;(495) 385-09-22;ЮАО;Бирюлёво Западное;Лыжные трассы и базы (сезонные);2;2;0;;55.582913;37.648197
16706;Озеленённая территория;Лыжная трасса;"Улица Булатниковская от памятника до к/т""Бирюсинка""";37,654186;55,581423;;;;;;Префектура;(495) 385-09-22;ЮАО;Бирюлёво Западное;Лыжные трассы и базы (сезонные);2;2;0;;55.581423;37.654186
16643;Набережная реки Москва;Лыжная трасса;Улица Борисовские пруды, дом 10, корпус 1;37,737705;55,638694;;;;;;Префектура;(495) 342-42-70;ЮАО;Братеево;Лыжные трассы и базы (сезонные);3;3;0;;55.638694;37.737705
16736;"Парк ""Бекет""";Лыжная трасса;Загородное шоссе, дом 2а;37,611244;55,698707;;;;;;Префектура;(495) 958-15-90;ЮАО;Донской;Лыжные трассы и базы (сезонные);2;2;0;;55.698707;37.611244
16707;Озеленённая территория;Лыжная трасса;Улица Мусы Джалиля,    дом 9, корпус 5;37,74913;55,627346;;;;;;Префектура;(499) 725-43-94;ЮАО;Зябликово;Лыжные трассы и базы (сезонные);1,5;1,5;0;;55.627346;37.74913
16950;пойма реки Городни;Лыжная трасса;Улица Мусы Джалиля,    дом 2, корпус 2;37,73569;55,630274;;;;;;Префектура;(499) 725-43-94;ЮАО;Зябликово;Лыжные трассы и базы (сезонные);2,3;0;0;;55.630274;37.73569
16642;Набережная реки Москва;Лыжная трасса;Проспект Андропова,     дом 22;37,660891;55,684794;;;;;;Префектура;(499) 612-05-62;ЮАО;Нагатино-Садовники;Лыжные трассы и базы (сезонные);1;1;0;;55.684794;37.660891
17437;Улица Затонная, д.2-2;Лыжная трасса;Улица Затонная,          дом 2;37,688022;55,674246;;;;;;Префектура;(499) 614-17-00;ЮАО;Нагатинский Затон;Лыжные трассы и базы (сезонные);2;2;0;;55.674246;37.688022
