UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;OKRUG;RAYON;ZAKAZ;AREA_SQM;X;Y;LAT;LON
17;Маршала Федоренко, вл.2;Маршала Федоренко, вл.2;Маршала Федоренко, вл.2;4173927.19529999980;7534440.61639999970;0;;;;;САО;Беговой;Префектура;800.00000000000;4173927.19529999980;7534440.61639999970;55.879378055112504;37.49502594340115
21;Путевой пр,38А;Путевой пр,38А;Путевой пр,38А;4182509.03720000010;7534146.51520000030;0;;;;;СВАО;Алтуфьевский;Префектура;1125.00000000000;4182509.03720000010;7534146.51520000030;55.877896055951446;37.57211794084783
22;ул.Чичерина,  д.8,к.1(сквер);ул.Чичерина,  д.8,к.1(сквер);ул.Чичерина,  д.8,к.1(сквер);4191651.15010000020;7531787.95899999980;0;;;;;СВАО;Бабушкинский;Префектура;1125.00000000000;4191651.15010000020;7531787.95899999980;55.86600905896548;37.65424293831999
23;ул.Гончарова,6;ул.Гончарова,6;ул.Гончарова,6;4184593.60539999980;7521734.84059999980;0;;;;;СВАО;Бутырский;Префектура;1125.00000000000;4184593.60539999980;7521734.84059999980;55.815301061141454;37.590843935596325
24;"ПКиО ""Бабушкинский""";"ПКиО ""Бабушкинский""";"ПКиО ""Бабушкинский""";4194840.34219999980;7532087.92210000010;0;;;;;СВАО;Лосиноостровский;Департамент культуры города Москвы;1125.00000000000;4194840.34219999980;7532087.92210000010;55.86752105889229;37.68289193839423
25;ул.Тайнинская,11,к.1;ул.Тайнинская,11,к.1;ул.Тайнинская,11,к.1;4194948.43360000010;7535395.43250000010;0;;;;;СВАО;Лосиноостровский;Префектура;1125.00000000000;4194948.43360000010;7535395.43250000010;55.88418905884521;37.683862939961244
26;"КСПК ""Останкино""";"КСПК ""Останкино""";"КСПК ""Останкино""";4186580.32459999990;7524360.05869999990;0;;;;;СВАО;Останкинский;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;1800.00000000000;4186580.32459999990;7524360.05869999990;55.828549059802235;37.60869093782246
27;Прудовый проезд,д.10;Прудовый проезд,д.10;Прудовый проезд,д.10;4187318.92930000000;7521419.23249999990;0;;;;;СВАО;Останкинский;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4187318.92930000000;7521419.23249999990;55.81370806086138;37.615325936731786
28;ул.Декабристов, д.29А;ул.Декабристов, д.29А;ул.Декабристов, д.29А;4186925.63780000010;7531282.29349999970;0;;;;;СВАО;Отрадное;Префектура;1800.00000000000;4186925.63780000010;7531282.29349999970;55.8634600582115;37.611792939076146
29;Территория Ростокинского акведука;Территория Ростокинского акведука;Территория Ростокинского акведука;4192140.28770000020;7524471.64259999990;0;;;;;СВАО;Ростокино;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4192140.28770000020;7524471.64259999990;55.82911206101941;37.658636936141164
30;Проспект Мира, д.185;Проспект Мира, д.185;Проспект Мира, д.185;4192193.60990000000;7526727.24700000040;0;;;;;СВАО;Ростокино;Префектура;1800.00000000000;4192193.60990000000;7526727.24700000040;55.8404910597713;37.6591159376136
31;Юрловский пр,вл.6;Юрловский пр,вл.6;Юрловский пр,вл.6;4188425.89060000000;7532165.89039999990;0;;;;;СВАО;Свиблово;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;1800.00000000000;4188425.89060000000;7532165.89039999990;55.86791405780747;37.62526993927898
32;Челобитьевское шоссе,д.14,к.3;Челобитьевское шоссе,д.14,к.3;Челобитьевское шоссе,д.14,к.3;4180594.23089999980;7541062.65490000040;0;;;;;СВАО;Северный;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;1925.00000000000;4180594.23089999980;7541062.65490000040;55.912732054830734;37.554916943193646
33;Челобитьевское шоссе, д.2, к.1;Челобитьевское шоссе, д.2, к.1;Челобитьевское шоссе, д.2, к.1;4179841.26580000020;7541438.45959999970;0;;;;;СВАО;Северный;Префектура;1925.00000000000;4179841.26580000020;7541438.45959999970;55.91462405480637;37.54815294261626
