OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
1;4525;4525;DPIOOS29;"Природно-исторический парк ""Кузьминки-Люблино""";улица Тополевая аллея, дом 16;бесплатно;19070,6064;2491,5269;2700359;;площадка для пляжных видов спорта;;нет;будни с 00:00 до 24:00, выходные с 00:00 до 24:00;песчаное;без освещения;нет;нет;;;;плоскостные спортивные сооружения;Департамент природопользования и охраны окружающей среды города Москвы;ЮВАО;Выхино-Жулебино;нет;нет;нет;нет;да;нет;нет;нет;1087746155892;"ГПБУ ""Управление ООПТ по ЮВАО""";(495) 258-45-60;kuzpark.ru;info@kuzpark.ru;Добавлено;;55.68896482637238;37.801481194691675
2;4526;4526;DPIOOS30;"Природно-исторический парк ""Кузьминки-Люблино""";улица Заречье, владение 14;бесплатно;17707,9995;3023,3405;2707516;;площадка для пляжных видов спорта;;нет;будни с 00:00 до 24:00, выходные с 00:00 до 24:00;песчаное;без освещения;нет;нет;;;;плоскостные спортивные сооружения;Департамент природопользования и охраны окружающей среды города Москвы;ЮВАО;Кузьминки;нет;нет;нет;нет;да;нет;нет;нет;1087746155892;"ГПБУ ""Управление ООПТ по ЮВАО""";(495) 258-45-60;kuzpark.ru;info@kuzpark.ru;Добавлено;;55.6937926954425;37.779850072950154
3;4527;4527;DPIOOS31;"Природно-исторический парк ""Кузьминки-Люблино""";улица Заречье, владение 14;бесплатно;17515,5148;2981,6685;2707516;;площадка для пляжных видов спорта;;нет;будни с 00:00 до 24:00, выходные с 00:00 до 24:00;песчаное;без освещения;нет;бесплатно;;;;плоскостные спортивные сооружения;Департамент природопользования и охраны окружающей среды города Москвы;ЮВАО;Кузьминки;нет;нет;нет;нет;да;нет;нет;нет;1087746155892;"ГПБУ ""Управление ООПТ по ЮВАО""";(495) 258-45-60;kuzpark.ru;info@kuzpark.ru;Добавлено;;55.69342534729149;37.77678657331843
4;4;;;сведения отсутствуют;бульв. Адмирала Ушакова 9;бесплатно;3395,4678;-13562,7603;305216;;площадка для пляжных видов спорта;;нет;с 9.00 до 22.00;песчаное;без освещения;да;нет;;;;междворовые спортивные площадки;Муниципалитет;ЮЗАО;Южное Бутово;нет;нет;нет;нет;нет;нет;нет;нет;1067761146342;"МБУ ЦдиК ""Южное Бутово""";8-499-232-89-14;нашебутово.рф;;Внесены изменения;;55.54512564054567;37.55205447565353
5;5;;;"Дворец спорта ""Янтарь""";;нет данных;-5248,2393;14995,2996;;;площадка для пляжных видов спорта;;да;нет данных;песчаное;смешанное освещение;нет;нет данных;;;;спортивные комплексы;;СЗАО;Строгино;нет;да;нет;да;да;да;нет;да;нет данных;нет данных;(499) 252-98-08;http://stroginosport.ru/;kpfsc-strogino@yandex.ru;;;55.801610685503725;37.414564334099914
6;6;;;Дизайн завод Флакон;ул. Большая Новодмитровская, 36/4;нет;5500,3398;15327,0314;;;площадка для пляжных видов спорта;;да;с 11:00 до 23:00;песчаное;смешанное освещение;нет;нет;;;;парки (озелененные городские территории);частная;СВАО;Марьина роща;да;да;нет;да;да;да;нет;да;нет данных;нет данных;(495) 790-79-01;http://flacon.ru/;http://flacon.ru/;;;55.80458981203812;37.58596679232125
7;7;;;"ДВОРЕЦ СПОРТА ""ДИНАМО""";ул. Лавочкина, д. 32;нет данных;-158,4379;20974,6531;;;площадка для пляжных видов спорта;;да;с 11:00 до 22:00;песчаное;смешанное освещение;да;нет данных;;;;парки (озелененные городские территории);;САО;Ховрино;нет;да;нет;да;да;нет;нет;да;нет данных;нет данных;(495) 454-95-41;http://dsdynamo.ru/;нет данных;;;55.8553444621538;37.4957199629895
8;8;;;СЕРЕБРЯНЫЙ БОР, ПЛЯЖ №3;Таманская улица, дом 2;нет данных;-3609,9872;12703,9247;;;площадка для пляжных видов спорта;;да;с 11:00 до 21:00;песчаное;смешанное освещение;да;нет данных;;;;парки (озелененные городские территории);;СЗАО;Хорошёво-Мневники;да;да;да;да;да;да;нет;да;нет данных;нет данных;(926) 015-96-15;http://www.uletay.com/;9260159615@bk.ru;;;55.781045725454234;37.44071900202618
9;9;;;Измайловский ПКиО;Народный проспект, дом 17;нет данных;15979,0221;11470,6496;;;площадка для пляжных видов спорта;;да;с 11:00 до 22:00;песчаное;смешанное освещение;да;нет данных;;;;парки (озелененные городские территории);;ВАО;Измайлово;нет;да;да;да;да;да;нет;да;нет данных;нет данных;(499) 166-61-19;http://www.izmailovsky-park.ru/;izmpark@mail.ru;;;55.769723109047284;37.75284604350213
10;10;;;"ПКиО ""Сокольники""";Сокольнический Вал улица, дом 1;нет данных;11233,4255;14109,1435;;;площадка для пляжных видов спорта;;да;с 11:00 до 22:00;песчаное;смешанное освещение;да;нет данных;;;;парки (озелененные городские территории);;ВАО;Сокольники;нет;да;нет;да;да;да;нет;да;нет данных;нет данных;(495) 268-54-30;www.park-sokolniki.ru;park@park-sokolniki.ru;;;55.79355334304726;37.677342967817914
