OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
3;3;;;Стадион Подшипник;Угрешская ул. 1;400 руб./2 часа;11608,8124;5074,13;362780;;площадка пейнтбольная;"Спортивный клуб ""Русский легион""";да;будни с 10:00 до 20:00 , выходные 11:00 до 19:00;искусственное;лампы дневного освещения;да;Пейнтбольные шары коробка 2700 руб;нет данных;нет данных;;плоскостные спортивные сооружения;частная;ЮВАО;Печатники;да;да;нет;нет;да;нет;нет;нет;1105074011668;"ООО ""ПроСпорт""";+7 (495) 989 1117;http://www.russianlegion.ru/;shop@russianlegion.ru;внесены изменения;;55.71239507779379;37.682947402045606
5;5;;;Стадион им. В.А.Мягкова;ул.Ярославская, вл.12;450-600 руб;9548,9796;17311,0208;;;площадка пейнтбольная;"Пейнтбольный клуб ""Арена""";Да;с 10:00 до 22:00;естественное покрытие;без освещения;нет;1 коробка (2000 шт)  2700 руб. за коробку;;;;плоскостные спортивные сооружения;частная;СВАО;Алексеевский;Да;Да;Да;Да;Да;Да;Да;Да;нет данных;"Объединение ""Арена""";(495) 600-45-48;http://www.pb-arena.ru;info@pb-arena.ru;;;55.82234712471728;37.650599570553204
12;12;;;"ГУК  ПКиО ""Бабушкинский""";ул. Менжинского 6;аренда по тарифам;11479,4288;22153,4555;509084;;площадка пейнтбольная;;да;будни и выходные с 07:00 до 23:00;натуральное;без освещения;нет;аренда по тарифам;;;;плоскостные спортивные сооружения;Департамент культуры города Москвы;СВАО;Лосиноостровский;да;нет;нет;да;да;да;нет;нет;1027739522030;"ГУК  ПКиО ""Бабушкинский""";8-499-184-34-22;Babushkinskiy.jimdo.com;parklos1@yandex.ru;Добавлено;;55.86579806102412;37.68160119748837
13;13;;;Сведения отсутствуют;Севастопольский проспект  д. 37А;480-1000;5819,0746;735,4616;;;площадка пейнтбольная;Севастополь;Да;ежедневно с 10:00 до 20:00;естественное покрытие;без освещения;нет;2 коробка (2000 шт)  2400 руб. за коробку;;;;плоскостные спортивные сооружения;частная;ЮЗАО;Котловка;Да;нет;нет;нет;да;Нет;Нет;Нет;нет данных;"Спортивный Клуб ""ВИТЯЗЬ""";(495) 741 98 85;http://paintworld.ru/;info@paintworld.ru;;;55.67352871897754;37.590745099278465
14;14;;;сведения отсутствуют;ул. Заречье, влад. 3;300 руб.;17227,4263;2421,8673;;;площадка пейнтбольная;База “Полигон”;Да;ежедневно с 10:00 до 20:00;естественное покрытие;без освещения;нет;3 коробка (2000 шт)  2700 руб. за коробку;;;;плоскостные спортивные сооружения;частная;ЮВАО;Кузьминки;Да;нет;нет;нет;да;нет;нет;нет;нет данных;"Пейнтбольная база ""Paintland""";(903) 757 59 99;http://www.paintland.ru/;game@paintland.ru;;;55.688407618791196;37.77217055708652
15;15;;;сведения отсутствуют;ул. Живописная д. 21, стр. 4;300 руб.;-3138,975;14175,9935;;;площадка пейнтбольная;База “Октябрь”;да;ежедневно с 10:00 до 20:00;естественное покрытие;без освещения;нет;3 коробка (2000 шт)  2700 руб. за коробку;;;;плоскостные спортивные сооружения;частная;СЗАО;Щукино;да;Нет;Нет;Нет;да;Нет;Нет;Нет;нет данных;"Пейнтбольная база ""Paintland""";(903)293 37 77;http://www.paintland.ru/;game@paintland.ru;;;55.79427073547544;37.448208223303226
1;585;585;DK____269;"ПКиО ""Перовский""";ул. Лазо, вл.7;Временно на ремонте;17476,531;8318,9184;2122314;0;площадка пейнтбольная;;нет;будни с 11.00-21.00,выходные с 9.00-23.00;искусственное;без освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ВАО;Перово;нет;нет;да;нет;нет;да;нет;нет;1027700441746;"ГАУК г. Москвы ""ПКиО ""Перовский""";8(495) 368-26-21;perovskiypark.ru;ppkio@mail.ru;Подтверждено;;55.74136411473372;37.77650509246606
2;1519;1519;DOGM__927;"Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр ""Истра""";"Климентовский пер.  дом 118; Стр- 1";300;8360,4001;8186,2689;;9758;площадка пейнтбольная;Пейнтбол/лазертаг;да;с 09:00 до 21:00;естественное покрытие;смешанное освещение;нет; Лазертаг 450р.час, пейнтбол - 300р. час +100 шариков;;;9758;учреждения (центры) дополнительного образования;Департамент образования города Москвы;ЦАО;Замоскворечье;да;да;да;да;да;да;нет;да;1027739748805;"ГБОУ ДООЦ ""Истра""";(495) 747-07-06;http://istra.dop.mskobr.ru/;istradooc@gmail.com;;;55.740413566133476;37.63136057179037
16;16;;;"Санаторий ""Светлана""";ул. Таежная, д. 1;300;12655,4385;23849,4902;;;площадка пейнтбольная;"""Светлана""";да; с 09:00 до 21:00;естественное покрытие;лампы дневного освещения;нет;"""Шарики 500 шт. 750 р.Шарики 2000 шт. 3 000 р.Граната 320 р.""";;;;парки (озелененные городские территории);частная;СВАО;Лосиноостровский;да;да;да;да;да;да;нет;да;1027700251590;"ЗАО ""Санаторий ""Светлана""";(495) 276-23-33;www.san-svetlana.ru;sales@san-svetlana.ru;;;55.88100182190503;37.70046299919829
17;17;;;сведения отсутствуют;Волоколамское ш., вл. 67;500-600;-3401,8507;17199,8482;;;площадка пейнтбольная;"""ФОРТ""";да;"""Пн-Пт с 12:00 до 20:00Сб-Вс с 10:00 до 21:00""";естественное покрытие;без освещения;нет;"""Шары прокатного класса  2000Meteor  2200Elixir  2400Дымовая шашка  300Граната имитационная R2B  300""";;;;плоскостные спортивные сооружения;частная;СЗАО;Покровское-Стрешнево;да;Нет;Нет;Нет;да;Нет;Нет;Нет;нет данных;"Пейнтбольный клуб ""Чкалов""";(495) 991-68-52;http://www.paint-klub.ru/;pk-chkalov@yandex.ru;;;55.82142803877642;37.44397823187408
