ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZoneLength;SportZoneLighting;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
1;"Лесопарк «Кусково», ПК № 80";"Площадка спортивная универсальная";"Восточный административный округ";"район Вешняки";"улица Юности, дом 2, строение 1";"ooptvao@gmail.com";"mosecovao.ru";"(495) 367-36-81";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.79475795041927";"55.7339676164675";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"40";"без дополнительного освещения";"бесплатно";"";"нет";"";"";"90561629";
2;"Зона отдыха ПИП Измайлово";"Площадка спортивная универсальная";"Восточный административный округ";"район Измайлово";"Измайловский проспект, дом 56";"ooptvao@gmail.com";"mosecovao.ru";"(499) 268-51-58";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.80654528998588";"55.78546113600289";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"12";"без дополнительного освещения";"бесплатно";"";"нет";"";"";"90561630";
3;"Крюковский лесопарк";"Площадка спортивная универсальная";"Зеленоградский административный округ";"район Старое Крюково";"город Зеленоград, корпус 701";"zelleshoz46@mail.ru";"www.zeloopt.ru";"(499) 735-55-56";"нет";"нет";"да";"нет";"нет";"да";"нет";"нет";"37.1945834948483";"55.986103562419665";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"8";"без дополнительного освещения";"бесплатно";"общая физическая подготовка";"нет";"частично приспособлен";"";"90561661";
4;"Природный заказник Медведковский";"Площадка спортивная универсальная";"Северо-Восточный административный округ";"район Северное Медведково";"Студёный проезд, дом 2, корпус 1";"leshoz_sewer@mail.ru";"www.ooptsvao.mos.ru";"(495) 579-29-76";"нет";"нет";"нет";"нет";"нет";"да";"нет";"нет";"37.65233640311275";"55.893213889584814";"понедельник 07:00-23:00; вторник 07:00-23:00; среда 07:00-23:00; четверг 07:00-23:00; пятница 07:00-23:00; суббота 07:00-23:00; воскресенье 07:00-23:00";"";"20";"освещение газоразрядными лампами";"бесплатно";"";"нет";"приспособлен для лиц с нарушением ОДА";"футбол";"90561664";
5;"Зона отдыха «Серебряно-Виноградные пруды»";"Площадка спортивная универсальная";"Восточный административный округ";"район Измайлово";"Измайловский проезд, дом 3, корпус 1";"";"";"(495) 291-27-34";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.76648717233841";"55.79640100850031";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"20";"освещение лампами накаливания";"бесплатно";"";"нет";"";"";"90561671";
6;"Природный заказник Северный";"Площадка спортивная универсальная";"Северо-Восточный административный округ";"район Северный";"Челобитьевское шоссе, дом 1, корпус 13";"leshoz_sewer@mail.ru";"www.ooptsvao.mos.ru";"(495) 579-29-76";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.55235838524963";"55.91144301385722";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"20";"без дополнительного освещения";"бесплатно";"";"нет";"частично приспособлен";"футбол";"90562046";
7;"Парк «Красная Пресня»";"Площадка спортивная универсальная";"Центральный административный округ";"Пресненский район";"Мантулинская улица, дом 5, строение 2";"";"p-kp.ru";"(499) 256-13-02";"да";"нет";"да";"да";"да";"да";"нет";"нет";"37.55095116913604";"55.755685141220155";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"40";"освещение газоразрядными лампами";"бесплатно";"";"да";"не приспособлен";"футбол";"90562100";
8;"ПИП «Покровское Стрешнево»";"Площадка спортивная";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Иваньковское шоссе, дом 6";"gpbu@oopt-szao.ru";"www.oopt-szao.ru";"(499) 199-01-10";"нет";"да";"нет";"нет";"нет";"нет";"нет";"нет";"37.47558969006287";"55.82120655518456";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"10";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"футбол";"90562124";
9;"ПИП «Покровское Стрешнево»";"Площадка спортивная";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Иваньковское шоссе, дом 6";"gpbu@oopt-szao.ru";"www.oopt-szao.ru";"(499) 199-01-10";"нет";"да";"нет";"нет";"нет";"нет";"нет";"нет";"37.4781348093125";"55.8233439701294";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"10";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"футбол";"90562125";
10;"ПИП «Покровское Стрешнево»";"Площадка спортивная";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Иваньковское шоссе, дом 6";"gpbu@oopt-szao.ru";"www.oopt-szao.ru";"(499) 199-01-10";"нет";"да";"нет";"нет";"нет";"нет";"нет";"нет";"37.47702162262716";"55.821901278371826";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"10";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"футбол";"90562126";
