OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
1;590;590;DK____274;"Скалодром в ПКиО ""Перовский""";ул. Лазо, вл.7;временно на ремонте;17459,423;8020,139;;0;скалодром;;нет;будни с 11.00-21.00,выходные с 9.00-23.00;специальное;без освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ВАО;Перово;нет;да;нет;нет;нет;да;нет;нет;1027700441746;"ГАУК г.Москвы ""ПКиО ""Перовский""";8(495)368-26-21;http://perovskiypark.ru;ppkio@mail.ru;Подтверждено;;55.73868120182656;37.77621375997731
2;3564;3564;DOGM__2972;"Государственное бюджетное образовательное учреждение города Москвы дом детского и юношеского туризма и экскурсий ""Родина"" имени А.А. Остапца-Свешникова";Восточный / Ивановское / Челябинская ул. / Дом- 5Б;бесплатно;20319,7072;12421,3965;2116321;10403;скалодром;"Площадка ""Скалодром""";нет;будни с 08:00 до 20:00, выходные с 08:00 до 20:00;специальное;уличные столбы освещения;да;нет;нет данных;нет данных;10403;учреждения (центры) дополнительного образования;Департамент образования города Москвы;ВАО;Ивановское;нет;нет;нет;нет;нет;нет;нет;нет;1037739193084;"ГБОУ ДДЮТЭ ""Родина""";(499) 308-40-03;rodina.dop.mskobr.ru;rodinavao@mail.ru;нет данных;;55.77810058238243;37.822075099226815
3;6274;6274;UVAO__92;"Региональная общественная организация ""СК""Горизонт""";ул. Маршала Кожедуба 14;250;18466,1646;678,8629;303845;102217;скалодром;;нет;16-20;специальное;лампы дневного освещения;да;нет;;;17230;физкультурно-оздоровительные комплексы;муниципалитет;ЮВАО;Люблино;нет;да;да;нет;да;нет;нет;нет;1067799009244;"Региональная общественная организация СК""Горизонт""";+7 (495) 658 5031;skgorizont.ru;skginfo@yandex.ru;Подтверждено;;55.672707235498635;37.79174946483936
5;5;;;«Скалатории»;ул. Летниковская, д. 4, стр. 2;350р.;9164,8384;6731,2905;;;Скалодром;нет данных;да;8.00 до 23.00;специальное покрытие;смешанное освещение;нет;нет данных;нет данных;нет данных;;спортивный комплекс;нет данных;ЦАО;Замоскворечье;да;да;да;да;да;да;нет;нет;нет данных;нет данных;(495) 642-58-78;http://www.skalatoria.ru/;info@skalatoria.ru;нет данных;;55.72733100888857;37.6441197991914
6;6;;;Скалодром в «Двореце детского спорта»;ул. Рабочая, д. 53;нет данных;12077,5917;8235,6419;;;Скалодром;;да;18.00 до 22.00;специальное покрытие;смешанное освещение;да;;;;;физкультурно-оздоровительные комплексы;нет данных;ЦАО;Таганский;да;да;нет;нет;нет;нет;нет;нет;нет данных;нет данных;(495) 670-21-70;http://dds-sport.ru/;нет данных;;;55.74077950390557;37.690543656752624
9;9;;;"""Скала сити""";Кутузовский проспект, дом 36, строение 3;500;1764,7207;8127,0726;;;Скалодром;;да;15.00 до 23.30;специальное покрытие;смешанное освещение;нет;;;;;спортивный комплекс;нет данных;ЗАО;Дорогомилово;да;да;нет;да;да;нет;нет;нет;;;(495) 980 06 68;http://www.skala-city.ru/;;;;55.73994926701489;37.52635074568418
8;8;;;Скалолазный центр Rock Zona;проспект Андропова, 22;нет данных;10310,7164;1752,6274;;;Скалодром;;да;нет данных;специальное покрытие;смешанное освещение;нет;;;;;физкультурно-оздоровительные комплексы;нет данных;ЮАО;Нагатино-садовники;да;да;нет;да;да;да;нет;нет;нет данных;нет данных;(499) 409-16-90;нет данных;нет данных;;;55.68259116352788;37.66217180619932
10;10;;;Скалодром Marina Club;Ленинградское шоссе, дом 25а стр.4;нет данных;-1275,9989;17862,4582;;;Скалодром;нет данных;да;с 11.00 до 22.00;специальное покрытие;смешанное освещение;нет;нет данных;нет данных;нет данных;;физкультурно-оздоровительные комплексы;нет данных;СЗАО;Покровское-Стрешнево;да;да;да;да;да;нет;нет;нет;нет данных;нет данных;(495) 363-60-61;http://www.marina-club.ru/;нет данных;нет данных;;55.82739011143209;37.47789072236644
11;11;;;Скалодром Red Point;улица Вятская, дом 27, корпус 12;380;5181,2126;14485,2697;;;Скалодром;;да;18:00 до 23:00;специальное покрытие;смешанное освещение;нет;;;;;физкультурно-оздоровительные комплексы;;САО;Савеловский;да;да;нет;да;да;да;нет;нет;;;(985) 967-58-68;http://redpoint.msk.ru/;tbr@baurock.ru;;;55.79703286813543;37.580861966324086
12;12;;;BigWall;ул. Бумажный проезд, д.19 стр.1;450;5484,2294;13627,5508;;;Скалодром;;да;нет данных;специальное покрытие;смешанное освещение;нет;;;;;физкультурно-оздоровительные комплексы;нет данных;САО;Беговой;да;да;да;да;да;да;нет;нет;нет данных;нет данных;(499) 653 60 30;http://www.bigwallsport.ru/;нет данных;;;55.78932587038258;37.58567636078126
14;14;;;Ящерка клуб Скалолазов;ул. Добролюбова, д. 14;нет данных;6012,7695;16486,3583;;;Скалодром;;да;нет данных;специальное покрытие;смешанное освещение;нет;;;;;физкультурно-оздоровительные комплексы;нет данных;СВАО;Бутырский;да;да;нет;нет;да;нет;нет;нет;нет данных;нет данных;(495) 618-14-75;нет данных;нет данных;;;55.814996460041705;37.5941636963292
15;15;;;Кант;Электролитный пр., вл. 7б;;7026,1672;935,3117;;;Скалодром;;да;;специальное покрытие;уличные столбы освещения;;;;;;физкультурно-оздоровительные комплексы;;ЮЗАО;Котловка;да;да;да;да;да;нет;да;нет;;;(499) 317-48-33;http://www.kant.ru/;;;;55.675308055362635;37.60993536040616
16;16;;;"Скалодром ""Спектр""";Новоясневский проспект, д. 1;нет данных;674,498;-5307,0967;;;Скалодром;"Скалодром ""Спектр""";да;"Пн-пт: 16:00-22:00;";специальное покрытие;смешанное освещение;нет данных;;;;;досуговый центр;нет данных;ЮЗАО;Тёплый стан;да;да;да;да;да;нет;да;нет;нет данных;нет данных;нет данных;нет данных;нет данных;;;55.61928845182306;37.508965930066545
17;17;;;Скалодром ТЦ “Экстрим”;ул. Смольная, д. 63Б.;250 руб.;-1780,5598;22612,2793;;;Скалодром;;да;с 15.00. до 20.00;специальное покрытие;смешанное освещение;нет данных;;;;;физкультурно-оздоровительные комплексы;нет данных;САО;Левобережный;да;да;да;да;да;да;нет;нет;нет данных;нет данных;(926) 527-27-53;http://rock-climbing.ru/;frog@rock-climbing.ru;;;55.87004925915227;37.46980666883018
18;18;;;"""""""Бауманский скалодром""""""";Госпитальная набережная, дом 2/4;200 руб.;12412,279;11645,8042;;;Скалодром;;да;18:30 - 21:30;специальное покрытие;смешанное освещение;да;;;;;физкультурно-оздоровительные комплексы;нет данных;ЦАО;Басманный;да;да;нет;нет;да;нет;нет;нет;нет данных;нет данных;(916) 586-18-21;http://goclimb.ru/;нет данных;;;55.77140003218013;37.69602576778237
