OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
9;4098;4098;DOGM__3506;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1142;ул. Перерва, дом 36;бесплатно;14955,8356;-1815,4456;2131292;9295;стрелковый тир;;нет;по графику;асфальтовое, бетонное;без освещения;да;нет;;;9295;общеобразовательные учреждения;Департамент образования города Москвы;ЮВАО;Марьино;нет;нет;нет;нет;нет;нет;нет;нет;1037739320255;ГБОУ СОШ № 1142;(499) 356-35-81;schuv1142.mskobr.ru;school1142@mail.ru;;;55.65042383153695;37.735824021332526
10;3978;3978;DOGM__3386;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 644 ""Гармония""";ул. Вилиса Лациса, дом11, корп.2;бесплатно;-4461,9963;21763,511;2113827;9587;стрелковый тир;стрелковый тир;нет;Свободный график;асфальтовое, бетонное;лампы дневного освещения;да;нет;;;9587;общеобразовательные учреждения;Департамент образования города Москвы;СЗАО;Северное Тушино;нет;нет;нет;нет;нет;нет;нет;нет;1027700554430;"ГБОУ ЦО № 644 ""Гармония""";(495) 495-52-45;www.co644.mskobr.ru;sch644@szouo.ru;нет данных;;55.862408055909675;37.42698789277748
11;4473;4473;DOGM__3881;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 883";Планерная ул.,дом 5, корп. 2;бесплатно;-4180,8967;21537,0847;2113821;9579;стрелковый тир;стрелковый тир;нет;с 9:00 до 22:00;искусственное;лампы дневного освещения;да;нет;;;9579;общеобразовательные учреждения;Департамент образования города Москвы;СЗАО;Северное Тушино;нет;нет;нет;нет;нет;нет;нет;да;1037739180093;ГБОУ СОШ № 883;(495) 495-84-28;sch883.mskobr.ru;sch883@rambler.ru;нет данных;;55.86037697830022;37.43148085538097
36;36;;;ГБОУ СОШ № 709;"9-я Северная линия  дом 1; корп. 2";бесплатно;3634,5732;29901,8601;;;Стрелковый тир;стрелковый тир;Нет; будни с 15:00 до 19:00,;искусственное покрытие;лампы дневного освещения;да;нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Северный;Нет;Да;Да;Нет;да;Нет;Нет;да; 1027700565640;ГБОУ СОШ № 709; (499) 767-60-11;http://schz709sv.mskobr.ru/; sch709@yandex.ru;нет данных;;55.935511374026625;37.556402586832995
13;4652;4652;MSPORT32;Государственное бюджетное учреждение дополнительного образования детей спортивной направленности города Москвы «Специализированная Детско-юношеская спортивная школа олимпийского резерва «Северный» Департамента физической культуры и спорта города Москвы;9-я Северная линия 1Б;только для учащихся;3623,4002;30050,785;;106911;стрелковый тир;стрелковый тир;нет;Понедельник с 8:00 до 23:00 Вторник с 8:00 до 23:00 Среда с 8:00 до 23:00 Четверг с 8:00 до 23:00 Пятница с 8:00 до 23:00 Суббота с 8:00 до 23:00 Воскресенье с 8:00 до 23:00;искусственное;смешанное освещение;да;нет;55.93691655345247;37.55620005266622;39815;учреждения (центры) дополнительного образования;Департамент физической культуры и спорта города Москвы;СВАО;Северный;нет;да;да;да;да;нет;нет;да;1037739219319;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы ""Специализированная детско-юношеская спортивная школа олимпийского резерва ""Северный"" Департамента физической культуры и спорта";(499) 767-89-16;severny.mossport.ru;severny@mossport.ru;внесены изменения;;55.936849015776936;37.55622574644843
37;37;;;ГБОУ СОШ № 1007;Солнцевский просп.  дом 7А;бесплатно;-6285,3585;-2012,2573;;;Стрелковый тир;;Нет; с 8.30 до 17.00;асфальтовое, бетонное покрытие;лампы дневного освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЗАО;Солнцево;Нет;Нет;Нет;Нет;Нет;да;Нет;да; 1037739029899;ГБОУ СОШ № 1007; (495) 435-99-32;http://sch1007.mskzapad.ru/; sch1007@yandex.ru;;;55.64884062577777;37.398423851011394
19;4759;4759;MSPORT139;"СК ""Борисово"" ГБОУ ДОДСН МГФСО Москомспорта";ул. Борисовские Пруды 29А;только для учащихся;14389,3539;-3450,9424;;105968;стрелковый тир;стрелковый тир;нет;Понедельник с 8:00 до 23:00 Вторник с 8:00 до 23:00 Среда с 8:00 до 23:00 Четверг с 8:00 до 23:00 Пятница с 8:00 до 23:00 Суббота с 8:00 до 23:00 Воскресенье с 8:00 до 23:00;искусственное;лампы дневного освещения;да;нет;55.63581841428601;37.72672324539477;39574;учреждения (центры) дополнительного образования;Департамент физической культуры и спорта города Москвы;ЮАО;Москворечье-Сабурово;нет;нет;нет;нет;нет;нет;нет;нет;1027700174677;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы Специализированная детско-юношеская спортивная школа олимпийского резерва ""Московское городское физкультурно-спортивное объедин";(499) 242-88-59;mgfso.ru;mgfso@mossport.ru;внесены изменения;;55.635751078028036;37.72674098883697
38;38;;;стрелковый клуб;"Боровское шоссе  дом 2; Стр- 78";бесплатно;-5339,0178;-696,1392;;;Стрелковый тир;;Нет; с 15:00 до 20:00;искусственное покрытие;лампы дневного освещения;Да;Нет;;;;учреждения (центры) дополнительного образования;Департамент образования города Москвы;ЗАО;Раменки;Нет;да;да;нет;да;нет;нет;нет; 1027739350803;"ГБОУ ЦТРиГО ""Дар"""; (495) 931-42-27;www.ctr-dar.ru; ctrigo.dar@mail.ru;;;55.660673318825324;37.413429218743566
40;40;;;Спорткомплекс №3;Волоколамское шоссе д.4;бесплатно;237,2698;15796,2889;;;стрелковый тир;;нет;9.00-17.00;искусственное;лампы дневного освещения;да;нет;;;;ВУЗы;;САО;Сокол;нет;да;нет;нет;да;нет;нет;да;нет данных;нет данных;нет данных;нет данных;нет данных;;;55.80883453821433;37.50203615511128
42;42;;;"Автономная некомерческая организация ""Спортивный досуговый клуб ""Альтаир""";2-й Южнопортовый пр. 9;Бесплатно;11516,9633;3762,7218;;;стрелковый тир;;нет;будние: с 17:00 до 22:00;специальное;лампы дневного освещения;да;Нет;;;;стрелковые стенды, стрельбища, тиры;Общественная организация;ЮВАО;Южнопортовый;да;да;да;нет;да;нет;нет;да;1077799004502;"Автономная некомерческая организация ""Спортивный досуговый клуб ""Альтаир""";+7 (495) 710 3945;нет;altairklub@yandex.ru;;;55.70061852197439;37.681431549334704
